rank,feature,importance
1,magnitude_bin_3|mean,810.6254796460398
2,magnitude_bin_3|energy,602.7964679901125
3,magnitude_bin_2|energy,536.7744966319781
4,r_com_x1|max,476.97862285703735
5,dominant_color_1_R|skewness,399.1023624802607
6,colorfulnesss|max,374.79595693590255
7,color_energy|median,361.59790656302056
8,magnitude_bin_4|slope,336.9574100839184
9,lspFreq[3]|max,330.28671052186075
10,motion_continuity|median,306.50168893526217
11,spec_contr_5|max,284.0477815625169
12,chroma_cqt_3|min,275.5288994071621
13,mfcc[5]|min,260.35625418234724
14,magnitude_bin_0|median,260.2360953066611
15,magnitude_bin_1|std,252.48317408022683
16,spectral_flux|energy,249.67499434830106
17,fast_motion|kurtosis,248.27739099054503
18,spec_contr_0|median,248.12248240340858
19,spectral_flux|skewness,243.1093430500253
20,chroma_cqt_4|energy,242.94040578920394
21,tonal_centroid_3|min,242.74011171252496
22,pcm_zcr_sma|median,241.37101769373177
23,colorfulnesss|median,239.59730700652364
24,mean_brightness|min,239.30836069135535
25,lspFreq[6]|median,238.7568587545478
26,magnitude_bin_1|energy,236.9055928739341
27,kurtosis|max,236.6760001922111
28,magnitude_bin_6|skewness,233.5216244894724
29,mfcc_sma[3]|skewness,232.0224894538132
30,lspFreq_sma[6]|kurtosis,231.75167720145467
31,spec_contr_2|median,229.78847150250107
32,mean_saturation|max,227.1202373963699
33,F0|skewness,226.5342931341682
34,chroma_cqt_5|median,226.1599507169596
35,motion_continuity|skewness,225.46606340324325
36,fast_motion|std,222.66321492525753
37,r_com_x2|skewness,222.49958411991685
38,tempogram_224_255|max,217.21440877463118
39,spectral_variation|min,214.69202688692073
40,chroma_cqt_11|kurtosis,213.09354765316027
41,magnitude_bin_8|skewness,210.49166889441238
42,lspFreq[7]|skewness,205.388001936327
43,chroma_cqt_6|energy,204.86075497892
44,chroma_cqt_3|median,204.54727982025432
45,spectral_variation|kurtosis,202.4246522034269
46,mfcc[12]|median,200.9931326742217
47,magnitude_bin_0|kurtosis,198.50803376036285
48,lspFreq_sma[1]|kurtosis,196.56349403658018
49,chroma_s_1|median,195.7172172988947
50,skewness|skewness,195.2120544842623
51,lspFreq[3]|kurtosis,194.53543015206793
52,pcm_zcr_sma|slope,192.94253968251007
53,tempogram_0_31|std,191.70449998893648
54,magnitude_bin_5|min,191.4474859840027
55,motion_continuity|energy,190.79096899556362
56,tempogram_0_31|skewness,189.50610272610172
57,pcm_zcr|kurtosis,188.48173311905393
58,spectral_rolloff|energy,187.44001267787615
59,tempogram_160_191|skewness,185.86484540716208
60,dominant_color_2_R|std,185.1705927768748
61,F0env|energy,184.51429969268833
62,spectral_decrease|mean,183.22769521194215
63,magnitude_bin_0|max,182.76769035756712
64,chroma_cqt_6|max,181.80928737259805
65,spectral_flux|median,181.67372290605286
66,mfcc_sma[11]|max,179.93552791703735
67,mfcc_sma[8]|min,179.55620923051737
68,mfcc_sma[8]|slope,179.3033342085145
69,voiceProb|min,177.23615199011215
70,tempogram_64_95|std,177.21275333056815
71,magnitude_bin_1|slope,176.8190787257683
72,F0|slope,176.61304433725422
73,magnitude_bin_2|min,176.55115691998031
74,spec_bw_time|max,176.2758608698166
75,lspFreq[5]|kurtosis,175.78611415092288
76,mean_brightness|kurtosis,173.801178774369
77,tempogram_32_63|std,171.2855732989453
78,spectral_decrease|median,170.9933472558974
79,tonal_centroid_3|max,170.56114489037247
80,tempogram_32_63|skewness,169.6602700922511
81,pcm_zcr|skewness,168.9735059330083
82,pcm_zcr_sma|max,167.13292713519442
83,tempogram_32_63|kurtosis,166.37938204471573
84,g_com_x2|kurtosis,166.03288011401332
85,chroma_t_3|median,165.55085980195696
86,ac_global|std,165.15232492792828
87,motion_continuity|slope,164.20233404267327
88,tempogram_320_351|mean,162.00758050322398
89,lspFreq_sma[5]|skewness,161.994403640967
90,oenv|slope,160.76558361630816
91,skewness|median,159.99283588478022
92,tempogram_192_223|kurtosis,159.93083366085227
93,lpc_13|median,159.63606064386474
94,tonal_centroid_2|max,159.15369348102598
95,r_com_x2|min,157.92844837831746
96,tonal_centroid_1|max,157.41397095146078
97,F0env|max,156.7166149165906
98,lspFreq_sma[7]|skewness,156.03991505571082
99,mean_mag|std,154.7962916474675
100,tempogram_224_255|std,154.54675746557422
101,ac_global|min,152.60135091203685
102,spec_bw_time|median,152.51709165088565
103,magnitude_bin_3|skewness,152.1679512182846
104,fast_motion|median,151.97043812979706
105,voiceProb_sma|skewness,150.57660800713037
106,F0|max,145.50144366640623
107,fast_motion|skewness,145.34306454663215
108,spectral_variation|median,144.8256506306662
109,voiceProb_sma|max,142.455587296853
110,tempogram_160_191|slope,141.93948352037933
111,pcm_zcr_sma|min,141.15165866738903
112,centroid|energy,137.30847246675157
113,spectral_rolloff|max,137.02814838631434
114,tempogram_64_95|min,132.92770577283468
115,g_com_x2|std,132.20612001953583
116,color_activity|min,130.6208310024719
117,motion_continuity|std,130.3025994723863
118,pcm_zcr_sma|std,130.16774857316523
119,voiceProb_sma|median,125.82397975107632
120,F0env|skewness,125.31607115762381
121,pcm_zcr|max,124.20887444962513
122,tempogram_0_31|max,123.97657277220819
123,ac_global|energy,123.95879176135786
124,magnitude_bin_2|median,123.46151681419673
125,F0env|mean,115.86300428919218
126,motion_continuity|mean,113.9368376900059
127,voiceProb|mean,113.57948169697224
128,tempogram_32_63|median,113.21617384737516
129,color_weight|kurtosis,112.99997152007205
130,pcm_zcr_sma|energy,111.94327694524964
131,voiceProb_sma|mean,107.38103188223593
132,voiceProb_sma|kurtosis,105.75552656828039
133,pcm_zcr|mean,103.99021494976628
134,pcm_zcr|median,100.75807240744733
135,tempogram_192_223|slope,97.60709399874189
136,ac_global|mean,97.60612593593171
137,F0env|median,92.37951687110775
138,pcm_zcr_sma|mean,92.02185699196158
139,pcm_zcr|std,84.01979628450367
140,mean_mag|min,80.03103629917679
141,color_energy|min,68.8252000629841
142,motion_continuity|min,47.84440576497582
143,F0env_sma|median,23.6659288060344
144,fast_motion|min,11.963131481563323
