rank,feature,importance
1,F0|slope,1894.0
2,dominant_color_2_R|std,1827.0
3,r_com_x1|max,1796.0
4,fast_motion|kurtosis,1796.0
5,mfcc_sma[3]|skewness,1787.0
6,dominant_color_1_R|skewness,1787.0
7,mean_saturation|max,1758.0
8,chroma_cqt_11|kurtosis,1735.0
9,chroma_cqt_5|median,1728.0
10,lspFreq_sma[1]|kurtosis,1723.0
11,chroma_cqt_3|median,1698.0
12,mfcc[12]|median,1691.0
13,chroma_cqt_4|energy,1641.0
14,r_com_x2|skewness,1614.0
15,fast_motion|skewness,1612.0
16,color_energy|median,1602.0
17,lspFreq[6]|median,1594.0
18,chroma_cqt_6|max,1571.0
19,mfcc_sma[8]|slope,1565.0
20,magnitude_bin_0|kurtosis,1552.0
21,lspFreq[5]|kurtosis,1550.0
22,colorfulnesss|max,1549.0
23,motion_continuity|energy,1546.0
24,magnitude_bin_4|slope,1518.0
25,ac_global|energy,1507.0
26,lspFreq_sma[6]|kurtosis,1505.0
27,lspFreq[3]|kurtosis,1504.0
28,tempogram_64_95|min,1501.0
29,tempogram_32_63|kurtosis,1494.0
30,spec_contr_0|median,1480.0
31,lspFreq[7]|skewness,1475.0
32,mfcc_sma[11]|max,1474.0
33,F0env|energy,1463.0
34,tonal_centroid_3|max,1461.0
35,magnitude_bin_1|slope,1459.0
36,skewness|skewness,1454.0
37,colorfulnesss|median,1440.0
38,chroma_cqt_6|energy,1440.0
39,voiceProb_sma|kurtosis,1420.0
40,color_weight|kurtosis,1414.0
41,tonal_centroid_3|min,1409.0
42,spec_bw_time|max,1408.0
43,mfcc[5]|min,1403.0
44,spectral_flux|skewness,1389.0
45,chroma_cqt_3|min,1388.0
46,magnitude_bin_8|skewness,1388.0
47,mean_brightness|kurtosis,1377.0
48,fast_motion|median,1375.0
49,ac_global|std,1372.0
50,spectral_variation|kurtosis,1364.0
51,chroma_s_1|median,1348.0
52,lspFreq_sma[7]|skewness,1324.0
53,mean_mag|std,1320.0
54,kurtosis|max,1320.0
55,tempogram_192_223|kurtosis,1317.0
56,tonal_centroid_1|max,1315.0
57,spec_contr_5|max,1315.0
58,tempogram_0_31|skewness,1300.0
59,fast_motion|std,1294.0
60,tempogram_320_351|mean,1289.0
61,tonal_centroid_2|max,1285.0
62,lspFreq_sma[5]|skewness,1284.0
63,pcm_zcr_sma|slope,1282.0
64,mfcc_sma[8]|min,1281.0
65,F0|skewness,1280.0
66,oenv|slope,1275.0
67,motion_continuity|skewness,1261.0
68,tempogram_0_31|std,1259.0
69,magnitude_bin_0|median,1242.0
70,motion_continuity|slope,1234.0
71,voiceProb|min,1234.0
72,motion_continuity|median,1219.0
73,tempogram_160_191|skewness,1212.0
74,magnitude_bin_5|min,1202.0
75,pcm_zcr|skewness,1200.0
76,tempogram_64_95|std,1199.0
77,tempogram_224_255|max,1197.0
78,magnitude_bin_0|max,1190.0
79,spectral_rolloff|energy,1181.0
80,spec_contr_2|median,1179.0
81,spectral_decrease|mean,1178.0
82,voiceProb_sma|max,1174.0
83,spectral_flux|energy,1166.0
84,magnitude_bin_3|skewness,1161.0
85,magnitude_bin_6|skewness,1161.0
86,centroid|energy,1155.0
87,pcm_zcr|kurtosis,1151.0
88,chroma_t_3|median,1148.0
89,F0|max,1124.0
90,tempogram_224_255|std,1113.0
91,magnitude_bin_1|std,1107.0
92,lspFreq[3]|max,1104.0
93,g_com_x2|kurtosis,1097.0
94,tempogram_0_31|max,1086.0
95,ac_global|min,1082.0
96,F0env|skewness,1077.0
97,lpc_13|median,1076.0
98,spectral_variation|min,1074.0
99,voiceProb_sma|skewness,1072.0
100,tempogram_32_63|skewness,1050.0
101,tempogram_32_63|std,1043.0
102,pcm_zcr_sma|min,1013.0
103,magnitude_bin_2|min,989.0
104,magnitude_bin_1|energy,979.0
105,spec_bw_time|median,976.0
106,tempogram_192_223|slope,957.0
107,voiceProb|mean,934.0
108,pcm_zcr_sma|energy,920.0
109,tempogram_32_63|median,918.0
110,tempogram_160_191|slope,913.0
111,F0env|max,912.0
112,spectral_decrease|median,908.0
113,F0env|mean,905.0
114,F0env|median,905.0
115,g_com_x2|std,897.0
116,magnitude_bin_2|energy,896.0
117,voiceProb_sma|median,890.0
118,color_activity|min,860.0
119,motion_continuity|std,857.0
120,spectral_variation|median,850.0
121,spectral_flux|median,835.0
122,pcm_zcr|median,832.0
123,spectral_rolloff|max,831.0
124,voiceProb_sma|mean,818.0
125,pcm_zcr|std,809.0
126,pcm_zcr|mean,796.0
127,skewness|median,792.0
128,magnitude_bin_3|energy,765.0
129,magnitude_bin_3|mean,753.0
130,color_energy|min,751.0
131,pcm_zcr|max,749.0
132,mean_brightness|min,743.0
133,magnitude_bin_2|median,728.0
134,ac_global|mean,724.0
135,pcm_zcr_sma|std,721.0
136,pcm_zcr_sma|max,685.0
137,r_com_x2|min,673.0
138,motion_continuity|mean,666.0
139,pcm_zcr_sma|median,644.0
140,pcm_zcr_sma|mean,589.0
141,mean_mag|min,584.0
142,motion_continuity|min,404.0
143,F0env_sma|median,277.0
144,fast_motion|min,31.0
