rank,feature,importance
1,color_energy|energy,488.2984425362023
2,mean_brightness|median,305.903111653313
3,colorfulnesss|max,255.65521924327896
4,color_activity|max,213.83295109132547
5,color_energy|mean,190.02356723502203
6,magnitude_bin_2|max,158.51945197412013
7,chroma_cqt_5|max,147.05023202635493
8,magnitude_bin_0|max,145.91077483189144
9,magnitude_bin_1|slope,135.57340179297717
10,mean_saturation|mean,127.38254101572048
11,magnitude_bin_0|median,127.35702442344123
12,mfcc[6]|min,123.28735277244053
13,lspFreq[6]|median,123.2177299427957
14,chroma_cqt_4|energy,118.44726194665895
15,kurtosis|skewness,118.02333100510822
16,fast_motion|max,116.06448194234687
17,colorfulnesss|energy,115.58073911071233
18,tempogram_224_255|max,113.87875242682097
19,lspFreq_sma[2]|max,113.75307988136775
20,mfcc_sma[7]|median,111.74360817275688
21,mfcc_sma[8]|min,110.93426745648816
22,motion_continuity|median,109.7817860184268
23,mfcc[9]|median,109.17310130768574
24,mean_saturation|max,107.7994993988345
25,pcm_zcr_sma|median,106.29397502510432
26,skewness|skewness,105.4781267313334
27,color_energy|max,104.8440712373935
28,spec_contr_6|skewness,101.28217472433519
29,tempogram_0_31|skewness,100.99924793006753
30,spectral_decrease|mean,100.8629629787343
31,chroma_cqt_7|mean,100.10382402186072
32,chroma_cqt_1|max,99.94180130070626
33,spec_contr_5|max,99.58037032601463
34,oenv|median,97.33803586656194
35,spec_contr_0|median,97.1999878336686
36,lspFreq_sma[7]|max,96.75941843468524
37,oenv|mean,96.642977374683
38,voiceProb|min,96.21191999436968
39,magnitude_bin_4|max,94.41106109082688
40,magnitude_bin_1|kurtosis,94.33966448945864
41,mfcc[8]|max,94.15067404127541
42,chroma_t_5|median,93.79550357996308
43,chroma_t_11|median,93.27332530976427
44,mfcc[12]|max,90.96010251509816
45,spectral_variation|min,90.3295997811783
46,spec_contr_3|median,90.0804471437991
47,chroma_cqt_3|median,88.88883040473765
48,spectral_decrease|median,88.6291338821349
49,chroma_t_1|skewness,85.98213099176321
50,lspFreq_sma[7]|min,85.97621057855584
51,voiceProb|max,85.76047345245111
52,tempogram_160_191|slope,85.6907341000029
53,tempogram_0_31|max,85.66917714899512
54,colorfulnesss|median,85.15233774622257
55,spec_contr_0|max,84.19805269252834
56,lspFreq_sma[5]|slope,83.48455483319269
57,F0|max,83.17988973130838
58,tonal_centroid_3|median,82.72800905287725
59,spectral_flux|skewness,82.30560683757193
60,skewness|kurtosis,81.62001904076658
61,tempogram_224_255|std,80.75685636168096
62,lspFreq[3]|max,80.18160064205675
63,magnitude_bin_3|std,80.03816052418449
64,magnitude_bin_5|skewness,79.93819561314922
65,tempogram_288_319|std,79.09554503398893
66,magnitude_bin_0|kurtosis,78.99396248167398
67,lspFreq_sma[5]|max,78.17180329695523
68,mean_mag|energy,78.14248645122801
69,voiceProb_sma|kurtosis,77.82633096707346
70,spectral_rolloff|kurtosis,77.73827616553092
71,magnitude_bin_2|std,77.65963311553901
72,spectral_flux|max,77.54263305454405
73,spec_contr_6|median,77.16137869038135
74,tempogram_64_95|min,76.90112517904558
75,fast_motion|kurtosis,76.73733964618393
76,spec_bw_time|max,76.47740792542717
77,ac_global|energy,76.02973554841687
78,spectral_rolloff|max,74.55025768382905
79,F0_sma|kurtosis,74.47411562746072
80,magnitude_bin_2|min,74.36619390532368
81,spread|kurtosis,74.28948542477049
82,tempogram_224_255|energy,73.8383001982024
83,pcm_zcr|median,73.793804285063
84,F0env|skewness,73.14656787727188
85,r_com_x2|min,73.0605177234323
86,tempogram_32_63|kurtosis,72.70716275234403
87,mean_mag|std,72.35321284139684
88,F0|skewness,72.34128791200239
89,voiceProb_sma|std,71.56780887759945
90,magnitude_bin_7|median,71.37053225589369
91,color_activity|mean,70.84931278674398
92,F0|mean,69.2807990781481
93,magnitude_bin_8|max,68.5580825996312
94,magnitude_bin_0|std,67.92429553439038
95,tempogram_64_95|std,67.65785223885987
96,mfcc_sma[3]|skewness,66.95658207651914
97,fast_motion|median,66.34231140445058
98,fast_motion|skewness,65.4244061445023
99,motion_continuity|skewness,64.60974548955959
100,spec_contr_0|std,63.74982958202891
101,voiceProb_sma|median,63.6693430907604
102,tempogram_192_223|kurtosis,63.497322073104684
103,lspFreq_sma[3]|median,63.34592973784493
104,pcm_zcr_sma|skewness,62.7952057092104
105,spread|max,62.571289675444746
106,pcm_zcr_sma|energy,62.3147316826925
107,voiceProb|skewness,62.11894149335849
108,pcm_zcr|kurtosis,60.44891765097346
109,ac_global|std,60.22589912047802
110,F0|slope,60.054509376802955
111,spectral_variation|median,59.55536607784671
112,mean_mag|kurtosis,59.50003360127593
113,mean_saturation|energy,59.447319704673795
114,mfcc[11]|kurtosis,59.2372809376688
115,magnitude_bin_5|kurtosis,59.02467028335123
116,motion_continuity|std,58.98005558008886
117,pcm_zcr_sma|slope,58.7703609729096
118,motion_continuity|slope,58.24013691160672
119,tempogram_160_191|skewness,58.01596220401475
120,pcm_zcr_sma|kurtosis,57.88028140270339
121,tempogram_64_95|max,57.07420089661116
122,pcm_zcr|mean,56.22195918250413
123,pcm_zcr|max,55.96198363855528
124,magnitude_bin_1|min,54.83515870608262
125,cent_time|skewness,54.40698575145675
126,voiceProb|mean,52.872100616445465
127,F0_sma|energy,51.93803584357666
128,tempogram_0_31|mean,51.834592251368946
129,ac_global|mean,51.678025570223866
130,ac_global|slope,50.6930104909615
131,motion_continuity|kurtosis,50.147922082000825
132,tempogram_0_31|energy,50.066861647939675
133,mean_mag|median,48.8730041734315
134,tempogram_32_63|median,46.272095008886225
135,oenv|slope,45.313060181566954
136,colorfulnesss|min,44.44603208847374
137,spec_bw_time|median,43.57949412269718
138,fast_motion|mean,41.775290501972144
139,color_activity|min,41.46511843830926
140,voiceProb|median,39.26097863996304
141,F0|energy,29.998674268643953
142,color_energy|min,27.906240301782823
143,fast_motion|min,1.6266298837026625
