rank,feature,importance
1,tempogram_32_63|kurtosis,1785.0
2,F0|slope,1782.0
3,tonal_centroid_3|median,1778.0
4,mean_brightness|median,1751.0
5,chroma_cqt_1|max,1751.0
6,lspFreq_sma[5]|slope,1710.0
7,fast_motion|skewness,1708.0
8,mfcc_sma[3]|skewness,1643.0
9,chroma_cqt_5|max,1643.0
10,chroma_cqt_7|mean,1638.0
11,mfcc_sma[8]|min,1622.0
12,tempogram_64_95|std,1575.0
13,skewness|kurtosis,1572.0
14,motion_continuity|median,1571.0
15,color_activity|max,1566.0
16,mfcc_sma[7]|median,1564.0
17,tempogram_0_31|skewness,1551.0
18,magnitude_bin_1|slope,1550.0
19,chroma_cqt_4|energy,1546.0
20,mfcc[8]|max,1541.0
21,F0env|skewness,1536.0
22,tempogram_160_191|slope,1532.0
23,spectral_flux|skewness,1516.0
24,mfcc[9]|median,1514.0
25,lspFreq_sma[7]|min,1503.0
26,magnitude_bin_1|kurtosis,1502.0
27,spread|kurtosis,1500.0
28,magnitude_bin_0|kurtosis,1481.0
29,lspFreq[6]|median,1478.0
30,fast_motion|kurtosis,1455.0
31,chroma_cqt_3|median,1443.0
32,colorfulnesss|max,1438.0
33,magnitude_bin_0|max,1423.0
34,mfcc[12]|max,1397.0
35,spectral_rolloff|kurtosis,1392.0
36,spec_contr_3|median,1391.0
37,lspFreq_sma[7]|max,1386.0
38,skewness|skewness,1382.0
39,tempogram_192_223|kurtosis,1373.0
40,spec_contr_0|max,1366.0
41,spec_contr_0|median,1365.0
42,chroma_t_11|median,1340.0
43,tempogram_224_255|max,1339.0
44,ac_global|energy,1337.0
45,mfcc[6]|min,1324.0
46,colorfulnesss|energy,1318.0
47,oenv|median,1314.0
48,chroma_t_1|skewness,1309.0
49,voiceProb|skewness,1308.0
50,magnitude_bin_0|median,1292.0
51,pcm_zcr_sma|slope,1290.0
52,tempogram_160_191|skewness,1285.0
53,voiceProb|min,1284.0
54,mfcc[11]|kurtosis,1274.0
55,spec_bw_time|max,1267.0
56,voiceProb_sma|kurtosis,1259.0
57,spectral_variation|median,1225.0
58,color_energy|max,1218.0
59,tempogram_64_95|min,1215.0
60,kurtosis|skewness,1213.0
61,magnitude_bin_2|max,1209.0
62,spec_contr_6|skewness,1206.0
63,magnitude_bin_5|skewness,1193.0
64,lspFreq[3]|max,1190.0
65,spec_contr_0|std,1183.0
66,colorfulnesss|median,1182.0
67,spectral_flux|max,1169.0
68,color_energy|energy,1167.0
69,mean_mag|kurtosis,1160.0
70,color_activity|mean,1145.0
71,magnitude_bin_0|std,1129.0
72,voiceProb|max,1126.0
73,F0|max,1125.0
74,tempogram_224_255|std,1118.0
75,motion_continuity|slope,1118.0
76,ac_global|slope,1117.0
77,mean_mag|std,1114.0
78,spectral_decrease|mean,1107.0
79,magnitude_bin_7|median,1103.0
80,mean_saturation|max,1098.0
81,oenv|slope,1093.0
82,mean_saturation|mean,1091.0
83,oenv|mean,1088.0
84,spectral_variation|min,1070.0
85,ac_global|std,1064.0
86,chroma_t_5|median,1062.0
87,spec_contr_5|max,1060.0
88,F0_sma|kurtosis,1047.0
89,lspFreq_sma[2]|max,1036.0
90,spectral_decrease|median,1035.0
91,magnitude_bin_2|min,1033.0
92,pcm_zcr|kurtosis,1024.0
93,spread|max,1023.0
94,pcm_zcr|mean,1022.0
95,voiceProb|median,1016.0
96,fast_motion|max,1000.0
97,pcm_zcr_sma|kurtosis,999.0
98,color_energy|mean,993.0
99,lspFreq_sma[5]|max,988.0
100,magnitude_bin_8|max,985.0
101,magnitude_bin_5|kurtosis,983.0
102,voiceProb_sma|median,983.0
103,mean_saturation|energy,979.0
104,lspFreq_sma[3]|median,978.0
105,motion_continuity|std,975.0
106,magnitude_bin_4|max,974.0
107,spec_contr_6|median,960.0
108,tempogram_224_255|energy,955.0
109,motion_continuity|skewness,949.0
110,voiceProb_sma|std,922.0
111,mean_mag|energy,919.0
112,motion_continuity|kurtosis,918.0
113,cent_time|skewness,916.0
114,pcm_zcr|max,912.0
115,magnitude_bin_3|std,909.0
116,magnitude_bin_1|min,907.0
117,tempogram_288_319|std,906.0
118,r_com_x2|min,891.0
119,pcm_zcr_sma|skewness,890.0
120,spec_bw_time|median,884.0
121,pcm_zcr_sma|energy,844.0
122,spectral_rolloff|max,828.0
123,F0|skewness,823.0
124,color_activity|min,817.0
125,colorfulnesss|min,800.0
126,tempogram_64_95|max,799.0
127,ac_global|mean,793.0
128,tempogram_0_31|max,771.0
129,mean_mag|median,732.0
130,tempogram_0_31|energy,724.0
131,fast_motion|median,713.0
132,tempogram_32_63|median,704.0
133,F0|mean,690.0
134,tempogram_0_31|mean,689.0
135,fast_motion|mean,673.0
136,voiceProb|mean,673.0
137,pcm_zcr_sma|median,663.0
138,F0_sma|energy,655.0
139,color_energy|min,637.0
140,magnitude_bin_2|std,630.0
141,pcm_zcr|median,609.0
142,F0|energy,488.0
143,fast_motion|min,36.0
