rank,feature,importance
1,magnitude_bin_3|mean,810.6254796460398
2,magnitude_bin_3|energy,602.7964679901125
3,magnitude_bin_2|energy,536.7744966319781
4,r_com_x1|max,476.97862285703735
5,dominant_color_1_R|skewness,399.1023624802607
6,colorfulnesss|max,374.79595693590255
7,color_energy|median,361.59790656302056
8,magnitude_bin_4|slope,336.9574100839184
9,lspFreq[3]|max,330.28671052186075
10,motion_continuity|median,306.50168893526217
11,spec_contr_5|max,284.0477815625169
12,chroma_cqt_3|min,275.5288994071621
13,mfcc[5]|min,260.35625418234724
14,magnitude_bin_0|median,260.2360953066611
15,magnitude_bin_1|std,252.48317408022683
16,spectral_flux|energy,249.67499434830106
17,fast_motion|kurtosis,248.27739099054503
18,spec_contr_0|median,248.12248240340858
19,spectral_flux|skewness,243.1093430500253
20,chroma_cqt_4|energy,242.94040578920394
