rank,feature,importance
1,F0|slope,1894.0
2,dominant_color_2_R|std,1827.0
3,r_com_x1|max,1796.0
4,fast_motion|kurtosis,1796.0
5,mfcc_sma[3]|skewness,1787.0
6,dominant_color_1_R|skewness,1787.0
7,mean_saturation|max,1758.0
8,chroma_cqt_11|kurtosis,1735.0
9,chroma_cqt_5|median,1728.0
10,lspFreq_sma[1]|kurtosis,1723.0
11,chroma_cqt_3|median,1698.0
12,mfcc[12]|median,1691.0
13,chroma_cqt_4|energy,1641.0
14,r_com_x2|skewness,1614.0
15,fast_motion|skewness,1612.0
16,color_energy|median,1602.0
17,lspFreq[6]|median,1594.0
18,chroma_cqt_6|max,1571.0
19,mfcc_sma[8]|slope,1565.0
20,magnitude_bin_0|kurtosis,1552.0
