rank,feature,importance
1,color_energy|energy,488.2984425362023
2,mean_brightness|median,305.903111653313
3,colorfulnesss|max,255.65521924327896
4,color_activity|max,213.83295109132547
5,color_energy|mean,190.02356723502203
6,magnitude_bin_2|max,158.51945197412013
7,chroma_cqt_5|max,147.05023202635493
8,magnitude_bin_0|max,145.91077483189144
9,magnitude_bin_1|slope,135.57340179297717
10,mean_saturation|mean,127.38254101572048
11,magnitude_bin_0|median,127.35702442344123
12,mfcc[6]|min,123.28735277244053
13,lspFreq[6]|median,123.2177299427957
14,chroma_cqt_4|energy,118.44726194665895
15,kurtosis|skewness,118.02333100510822
16,fast_motion|max,116.06448194234687
17,colorfulnesss|energy,115.58073911071233
18,tempogram_224_255|max,113.87875242682097
19,lspFreq_sma[2]|max,113.75307988136775
20,mfcc_sma[7]|median,111.74360817275688
