rank,feature,importance
1,tempogram_32_63|kurtosis,1785.0
2,F0|slope,1782.0
3,tonal_centroid_3|median,1778.0
4,mean_brightness|median,1751.0
5,chroma_cqt_1|max,1751.0
6,lspFreq_sma[5]|slope,1710.0
7,fast_motion|skewness,1708.0
8,mfcc_sma[3]|skewness,1643.0
9,chroma_cqt_5|max,1643.0
10,chroma_cqt_7|mean,1638.0
11,mfcc_sma[8]|min,1622.0
12,tempogram_64_95|std,1575.0
13,skewness|kurtosis,1572.0
14,motion_continuity|median,1571.0
15,color_activity|max,1566.0
16,mfcc_sma[7]|median,1564.0
17,tempogram_0_31|skewness,1551.0
18,magnitude_bin_1|slope,1550.0
19,chroma_cqt_4|energy,1546.0
20,mfcc[8]|max,1541.0
