rank,feature,importance
1,magnitude_bin_3|mean,690.064231706881
2,r_com_x1|max,629.8424526912081
3,magnitude_bin_3|energy,555.9983329095946
4,dominant_color_1_R|skewness,542.4307650290938
5,spec_contr_5|max,516.9965937913273
6,color_energy|median,511.2136719477561
7,magnitude_bin_0|median,499.0615675196938
8,magnitude_bin_2|energy,488.1568972335155
9,tonal_centroid_3|min,454.8624785530626
10,chroma_cqt_4|energy,454.0399444484536
11,chroma_cqt_5|median,451.3152266160047
12,magnitude_bin_4|slope,449.7505954623136
13,colorfulnesss|max,439.292430422148
14,chroma_cqt_11|kurtosis,433.4550975944849
15,spec_contr_2|median,421.38650573450127
16,spec_contr_0|median,401.5139104258612
17,tonal_centroid_3|max,393.13152091266795
18,magnitude_bin_6|skewness,392.2864770786132
19,magnitude_bin_1|std,390.1748887130069
20,magnitude_bin_0|kurtosis,387.0790719424435
21,chroma_cqt_6|max,382.64680060086715
22,chroma_t_3|median,378.1116815367463
23,chroma_cqt_3|median,377.6143139800319
24,chroma_cqt_3|min,376.15124066226565
25,magnitude_bin_1|slope,365.6676362924729
26,magnitude_bin_3|skewness,362.4469744041734
27,chroma_s_1|median,359.7748000288711
28,mean_saturation|max,357.893341911816
29,g_com_x2|std,357.7785579637667
30,chroma_cqt_6|energy,356.58529504682855
31,magnitude_bin_5|min,355.8444829872051
32,colorfulnesss|median,355.2735625617252
33,magnitude_bin_8|skewness,348.280521228504
34,tonal_centroid_1|max,346.317767261747
35,r_com_x2|skewness,336.0620895885555
36,color_weight|kurtosis,334.7297078744617
37,g_com_x2|kurtosis,320.010045007008
38,magnitude_bin_0|max,318.8112216434773
39,magnitude_bin_2|median,307.75132639909924
40,magnitude_bin_1|energy,305.0978297883549
41,dominant_color_2_R|std,302.9864635666677
42,color_activity|min,301.89127705918344
43,magnitude_bin_2|min,300.4300379343351
44,tonal_centroid_2|max,297.9325207621242
45,mean_brightness|kurtosis,294.10527675842246
46,mean_brightness|min,285.64559604649463
47,r_com_x2|min,221.82344077904517
48,color_energy|min,199.18244955626383
