rank,feature,importance
1,r_com_x1|max,4500.0
2,chroma_s_1|median,4346.0
3,magnitude_bin_4|slope,4229.0
4,chroma_cqt_3|median,4221.0
5,chroma_cqt_5|median,4171.0
6,magnitude_bin_0|kurtosis,4152.0
7,spec_contr_5|max,4096.0
8,spec_contr_0|median,4070.0
9,chroma_cqt_4|energy,4044.0
10,color_energy|median,4013.0
11,chroma_cqt_6|max,4011.0
12,mean_saturation|max,4002.0
13,dominant_color_1_R|skewness,3997.0
14,chroma_cqt_11|kurtosis,3994.0
15,chroma_t_3|median,3987.0
16,tonal_centroid_3|min,3980.0
17,dominant_color_2_R|std,3957.0
18,tonal_centroid_3|max,3915.0
19,tonal_centroid_2|max,3870.0
20,magnitude_bin_1|slope,3852.0
21,spec_contr_2|median,3850.0
22,colorfulnesss|max,3805.0
23,chroma_cqt_6|energy,3778.0
24,magnitude_bin_8|skewness,3671.0
25,magnitude_bin_3|skewness,3630.0
26,tonal_centroid_1|max,3623.0
27,colorfulnesss|median,3552.0
28,magnitude_bin_5|min,3528.0
29,magnitude_bin_0|median,3517.0
30,r_com_x2|skewness,3501.0
31,magnitude_bin_6|skewness,3490.0
32,mean_brightness|kurtosis,3423.0
33,chroma_cqt_3|min,3421.0
34,g_com_x2|std,3412.0
35,color_weight|kurtosis,3374.0
36,magnitude_bin_0|max,3365.0
37,magnitude_bin_2|min,3146.0
38,g_com_x2|kurtosis,3082.0
39,magnitude_bin_1|std,3045.0
40,magnitude_bin_2|median,3003.0
41,magnitude_bin_3|energy,2706.0
42,magnitude_bin_1|energy,2661.0
43,magnitude_bin_2|energy,2629.0
44,magnitude_bin_3|mean,2434.0
45,color_activity|min,2122.0
46,mean_brightness|min,2070.0
47,r_com_x2|min,1985.0
48,color_energy|min,1970.0
