rank,feature,importance
1,color_energy|energy,421.5470401454543
2,mean_brightness|median,359.1300799533252
3,colorfulnesss|max,279.8246738184332
4,color_activity|max,263.35539895073936
5,chroma_cqt_5|max,231.5463978750468
6,magnitude_bin_0|median,216.26663663041057
7,magnitude_bin_1|slope,212.7533042208948
8,spec_contr_5|max,210.76220611750705
9,chroma_t_11|median,208.24770904788863
10,magnitude_bin_2|max,208.1085603288305
11,chroma_cqt_7|mean,203.09351490779576
12,magnitude_bin_0|max,199.28250008159287
13,tonal_centroid_3|median,198.76143728913203
14,chroma_cqt_1|max,197.72966347983467
15,magnitude_bin_0|kurtosis,197.40643426969785
16,spec_contr_0|median,196.08372546642806
17,chroma_t_5|median,192.1732086817057
18,spec_contr_6|skewness,191.86962484768662
19,spec_contr_6|median,173.56484525773283
20,magnitude_bin_3|std,172.47190591834692
21,color_energy|max,171.7570458886529
22,chroma_cqt_4|energy,171.64433266143197
23,mean_saturation|max,169.60610690653198
24,spec_contr_3|median,166.9133191630832
25,chroma_cqt_3|median,165.46605248372956
26,magnitude_bin_1|kurtosis,162.64098773030497
27,magnitude_bin_2|min,159.78692113417893
28,magnitude_bin_7|median,159.5990989097932
29,color_energy|mean,154.3028729625122
30,spec_contr_0|std,153.90467907951256
31,chroma_t_1|skewness,152.96769405960023
32,magnitude_bin_0|std,149.66441043187245
33,mean_saturation|mean,148.98489397784834
34,colorfulnesss|median,145.4343966607021
35,colorfulnesss|energy,144.78084379323894
36,magnitude_bin_8|max,143.6504531389627
37,spec_contr_0|max,141.82752190040696
38,magnitude_bin_4|max,141.4981231116596
39,mean_saturation|energy,140.31408192181766
40,magnitude_bin_5|skewness,132.30540756949347
41,magnitude_bin_5|kurtosis,125.20842482277558
42,color_activity|mean,123.09782724195371
43,magnitude_bin_2|std,123.01686002670091
44,magnitude_bin_1|min,117.86629433827261
45,color_energy|min,94.98136590574921
46,r_com_x2|min,91.69663496492166
47,color_activity|min,85.97047664369288
48,colorfulnesss|min,84.3421104046813
