rank,feature,importance
1,tonal_centroid_3|median,4553.0
2,chroma_cqt_4|energy,4481.0
3,mean_brightness|median,4385.0
4,magnitude_bin_1|slope,4368.0
5,spec_contr_0|max,4302.0
6,chroma_cqt_7|mean,4293.0
7,spec_contr_6|skewness,4272.0
8,chroma_cqt_3|median,4263.0
9,spec_contr_5|max,4250.0
10,chroma_cqt_5|max,4186.0
11,magnitude_bin_0|kurtosis,4170.0
12,spec_contr_0|std,4154.0
13,chroma_cqt_1|max,4086.0
14,chroma_t_5|median,4084.0
15,spec_contr_0|median,4077.0
16,spec_contr_3|median,4042.0
17,chroma_t_11|median,4024.0
18,chroma_t_1|skewness,3974.0
19,color_activity|max,3859.0
20,magnitude_bin_0|max,3774.0
21,magnitude_bin_1|kurtosis,3763.0
22,magnitude_bin_0|std,3731.0
23,magnitude_bin_0|median,3687.0
24,colorfulnesss|max,3669.0
25,magnitude_bin_5|skewness,3663.0
26,spec_contr_6|median,3476.0
27,magnitude_bin_4|max,3414.0
28,magnitude_bin_8|max,3413.0
29,color_energy|max,3371.0
30,magnitude_bin_3|std,3285.0
31,magnitude_bin_7|median,3190.0
32,magnitude_bin_2|max,3136.0
33,mean_saturation|max,3121.0
34,color_energy|mean,3104.0
35,magnitude_bin_2|min,3086.0
36,magnitude_bin_1|min,3073.0
37,color_activity|mean,3072.0
38,colorfulnesss|median,2997.0
39,color_energy|energy,2920.0
40,colorfulnesss|energy,2875.0
41,magnitude_bin_2|std,2825.0
42,mean_saturation|energy,2696.0
43,mean_saturation|mean,2687.0
44,r_com_x2|min,2667.0
45,magnitude_bin_5|kurtosis,2578.0
46,color_activity|min,2125.0
47,colorfulnesss|min,2006.0
48,color_energy|min,1973.0
