index,feature
0,magnitude_bin_2|energy
1,magnitude_bin_2|median
2,magnitude_bin_2|min
3,magnitude_bin_6|skewness
4,magnitude_bin_0|max
5,magnitude_bin_0|median
6,magnitude_bin_0|kurtosis
7,magnitude_bin_1|std
8,magnitude_bin_1|slope
9,magnitude_bin_1|energy
10,magnitude_bin_4|slope
11,magnitude_bin_3|energy
12,magnitude_bin_3|skewness
13,magnitude_bin_3|mean
14,magnitude_bin_8|skewness
15,magnitude_bin_5|min
16,spec_contr_0|median
17,chroma_cqt_3|min
18,chroma_cqt_3|median
19,spec_contr_5|max
20,tonal_centroid_3|min
21,tonal_centroid_3|max
22,spec_contr_2|median
23,tonal_centroid_1|max
24,chroma_cqt_11|kurtosis
25,tonal_centroid_2|max
26,chroma_cqt_6|max
27,chroma_cqt_6|energy
28,chroma_cqt_5|median
29,chroma_s_1|median
30,chroma_cqt_4|energy
31,chroma_t_3|median
32,colorfulnesss|max
33,colorfulnesss|median
34,mean_saturation|max
35,color_energy|min
36,color_energy|median
37,r_com_x2|skewness
38,r_com_x2|min
39,mean_brightness|min
40,mean_brightness|kurtosis
41,dominant_color_2_R|std
42,g_com_x2|kurtosis
43,g_com_x2|std
44,color_activity|min
45,r_com_x1|max
46,dominant_color_1_R|skewness
47,color_weight|kurtosis
