index,feature
0,magnitude_bin_0|max
1,magnitude_bin_0|median
2,magnitude_bin_0|kurtosis
3,magnitude_bin_0|std
4,magnitude_bin_5|skewness
5,magnitude_bin_5|kurtosis
6,magnitude_bin_2|max
7,magnitude_bin_2|std
8,magnitude_bin_2|min
9,magnitude_bin_3|std
10,magnitude_bin_4|max
11,magnitude_bin_7|median
12,magnitude_bin_1|kurtosis
13,magnitude_bin_1|min
14,magnitude_bin_1|slope
15,magnitude_bin_8|max
16,spec_contr_0|median
17,spec_contr_0|max
18,spec_contr_0|std
19,spec_contr_6|skewness
20,spec_contr_6|median
21,chroma_cqt_5|max
22,chroma_cqt_3|median
23,tonal_centroid_3|median
24,spec_contr_5|max
25,chroma_t_1|skewness
26,chroma_t_5|median
27,chroma_t_11|median
28,chroma_cqt_4|energy
29,chroma_cqt_1|max
30,spec_contr_3|median
31,chroma_cqt_7|mean
32,color_energy|mean
33,color_energy|max
34,color_energy|energy
35,color_energy|min
36,colorfulnesss|energy
37,colorfulnesss|max
38,colorfulnesss|median
39,colorfulnesss|min
40,mean_saturation|mean
41,mean_saturation|max
42,mean_saturation|energy
43,mean_brightness|median
44,color_activity|max
45,color_activity|min
46,color_activity|mean
47,r_com_x2|min
