rank,feature,importance
1,magnitude_bin_3|mean,690.064231706881
2,r_com_x1|max,629.8424526912081
3,magnitude_bin_3|energy,555.9983329095946
4,dominant_color_1_R|skewness,542.4307650290938
5,spec_contr_5|max,516.9965937913273
6,color_energy|median,511.2136719477561
7,magnitude_bin_0|median,499.0615675196938
8,magnitude_bin_2|energy,488.1568972335155
9,tonal_centroid_3|min,454.8624785530626
10,chroma_cqt_4|energy,454.0399444484536
11,chroma_cqt_5|median,451.3152266160047
12,magnitude_bin_4|slope,449.7505954623136
13,colorfulnesss|max,439.292430422148
14,chroma_cqt_11|kurtosis,433.4550975944849
15,spec_contr_2|median,421.38650573450127
16,spec_contr_0|median,401.5139104258612
17,tonal_centroid_3|max,393.13152091266795
18,magnitude_bin_6|skewness,392.2864770786132
19,magnitude_bin_1|std,390.1748887130069
20,magnitude_bin_0|kurtosis,387.0790719424435
