rank,feature,importance
1,r_com_x1|max,4500.0
2,chroma_s_1|median,4346.0
3,magnitude_bin_4|slope,4229.0
4,chroma_cqt_3|median,4221.0
5,chroma_cqt_5|median,4171.0
6,magnitude_bin_0|kurtosis,4152.0
7,spec_contr_5|max,4096.0
8,spec_contr_0|median,4070.0
9,chroma_cqt_4|energy,4044.0
10,color_energy|median,4013.0
11,chroma_cqt_6|max,4011.0
12,mean_saturation|max,4002.0
13,dominant_color_1_R|skewness,3997.0
14,chroma_cqt_11|kurtosis,3994.0
15,chroma_t_3|median,3987.0
16,tonal_centroid_3|min,3980.0
17,dominant_color_2_R|std,3957.0
18,tonal_centroid_3|max,3915.0
19,tonal_centroid_2|max,3870.0
20,magnitude_bin_1|slope,3852.0
