rank,feature,importance
1,color_energy|energy,421.5470401454543
2,mean_brightness|median,359.1300799533252
3,colorfulnesss|max,279.8246738184332
4,color_activity|max,263.35539895073936
5,chroma_cqt_5|max,231.5463978750468
6,magnitude_bin_0|median,216.26663663041057
7,magnitude_bin_1|slope,212.7533042208948
8,spec_contr_5|max,210.76220611750705
9,chroma_t_11|median,208.24770904788863
10,magnitude_bin_2|max,208.1085603288305
11,chroma_cqt_7|mean,203.09351490779576
12,magnitude_bin_0|max,199.28250008159287
13,tonal_centroid_3|median,198.76143728913203
14,chroma_cqt_1|max,197.72966347983467
15,magnitude_bin_0|kurtosis,197.40643426969785
16,spec_contr_0|median,196.08372546642806
17,chroma_t_5|median,192.1732086817057
18,spec_contr_6|skewness,191.86962484768662
19,spec_contr_6|median,173.56484525773283
20,magnitude_bin_3|std,172.47190591834692
