rank,feature,importance
1,tonal_centroid_3|median,4553.0
2,chroma_cqt_4|energy,4481.0
3,mean_brightness|median,4385.0
4,magnitude_bin_1|slope,4368.0
5,spec_contr_0|max,4302.0
6,chroma_cqt_7|mean,4293.0
7,spec_contr_6|skewness,4272.0
8,chroma_cqt_3|median,4263.0
9,spec_contr_5|max,4250.0
10,chroma_cqt_5|max,4186.0
11,magnitude_bin_0|kurtosis,4170.0
12,spec_contr_0|std,4154.0
13,chroma_cqt_1|max,4086.0
14,chroma_t_5|median,4084.0
15,spec_contr_0|median,4077.0
16,spec_contr_3|median,4042.0
17,chroma_t_11|median,4024.0
18,chroma_t_1|skewness,3974.0
19,color_activity|max,3859.0
20,magnitude_bin_0|max,3774.0
