rank,feature,importance
1,magnitude_bin_3|mean,866.4386941271673
2,magnitude_bin_3|energy,597.6604548491661
3,r_com_x1|max,534.2238084275932
4,magnitude_bin_2|energy,499.49514744647087
5,dominant_color_1_R|skewness,404.02077952516026
6,color_energy|median,366.5285545146348
7,colorfulnesss|max,337.39755477230483
8,sub_ons_2|median,330.1638394089001
9,lspFreq[3]|max,318.4729907249677
10,motion_continuity|median,315.72762606249375
11,magnitude_bin_4|slope,290.54811176283755
12,spec_contr_5|max,289.5313652459464
13,magnitude_bin_0|median,278.08816462123343
14,magnitude_bin_1|std,274.3062908064243
15,tonal_centroid_3|min,273.53968346983805
16,chroma_cqt_3|min,269.81910790230154
17,mfcc[5]|min,269.5511535974563
18,sub_ons_3|std,267.9416929224496
19,kurtosis|max,258.8977987556003
20,chroma_cqt_4|energy,257.4005283635393
21,colorfulnesss|median,252.36168236467503
22,pcm_zcr_sma|median,250.98514237566926
23,magnitude_bin_1|energy,248.67519948553456
24,lspFreq_sma[1]|kurtosis,248.0016372719047
25,pcm_zcr|kurtosis,246.3053536713396
26,chroma_cqt_11|kurtosis,244.17443845577205
27,lspFreq_sma[6]|kurtosis,230.05264882408522
28,motion_continuity|skewness,228.61096347414346
29,spec_contr_2|median,228.55988652206153
30,onset_frame|std,226.46256189169736
31,lspFreq[6]|median,221.06444148768531
32,mean_brightness|min,220.87430780989735
33,chroma_cqt_5|median,219.54249940512986
34,sub_ons_0|max,214.55522469375222
35,pcm_zcr_sma|slope,213.79825366225003
36,chroma_cqt_3|median,213.4859496488068
37,mean_saturation|max,211.90267070749738
38,spec_contr_0|median,211.26707323784075
39,tempogram_32_63|kurtosis,208.05399767261127
40,spectral_flux|skewness,206.12681345848793
41,magnitude_bin_0|kurtosis,205.89214900958856
42,magnitude_bin_6|skewness,204.05172280308443
43,spectral_flux|energy,203.115671297918
44,mfcc_sma[8]|min,201.78145557119407
45,mfcc_sma[3]|skewness,200.98600111375083
46,spectral_decrease|mean,200.77985527184435
47,magnitude_bin_8|skewness,198.83822544622785
48,fast_motion|std,197.38298455142336
49,fast_motion|kurtosis,197.328782299108
50,magnitude_bin_1|slope,196.73888137211023
51,mfcc[12]|median,196.5654472905104
52,spectral_flux|median,195.88191824106906
53,chroma_cqt_6|energy,194.44584510993866
54,spectral_variation|kurtosis,191.39561125098186
55,pcm_zcr|skewness,191.19993120864606
56,tempogram_32_63|std,191.02936910790487
57,spectral_rolloff|energy,190.64331431311123
58,chroma_s_1|median,189.2744338137154
59,mean_brightness|kurtosis,187.78398011578426
60,tempogram_0_31|skewness,185.940523933412
61,motion_continuity|energy,185.78982740856586
62,mfcc_sma[8]|slope,184.5100416292164
63,spec_bw_time|max,184.0002448407028
64,magnitude_bin_5|min,183.35898483656968
65,chroma_t_3|median,182.70036883382343
66,skewness|median,181.9694214542921
67,r_com_x2|skewness,181.299741555416
68,fast_motion|median,180.98179115596048
69,lspFreq[5]|kurtosis,178.90106328738568
70,tempogram_224_255|max,177.04996937843913
71,chroma_cqt_6|max,176.435416342285
72,dominant_color_2_R|std,174.61336498099274
73,tempogram_0_31|std,173.95020223671605
74,magnitude_bin_0|max,173.0077300746637
75,spectral_variation|min,171.2293281534633
76,ac_global|min,171.1055041480023
77,tonal_centroid_3|max,169.7439488799005
78,skewness|skewness,169.49363559811292
79,ac_global|std,168.65696952799217
80,motion_continuity|slope,167.7634102513438
81,mean_mag|std,167.17539845784262
82,lspFreq[3]|kurtosis,166.87170118708445
83,sub_ons_1|median,166.7609558334673
84,lpc_13|median,166.69294386136482
85,spectral_decrease|median,166.34555772573688
86,fast_motion|skewness,164.05589351891436
87,tempogram_64_95|min,162.01572736944996
88,lspFreq_sma[7]|skewness,161.52753296426565
89,spec_bw_time|median,158.61539404516543
90,lspFreq[7]|skewness,158.42583455868916
91,lspFreq_sma[5]|skewness,157.65512845943357
92,pcm_zcr_sma|min,154.86218600256416
93,magnitude_bin_3|skewness,153.47686663412185
94,sub_ons_3|max,151.9940734944619
95,tonal_centroid_2|max,150.4645180066848
96,tempogram_160_191|skewness,147.86538061993457
97,tempogram_64_95|std,146.97265978880546
98,mfcc_sma[11]|max,146.45725253067707
99,g_com_x2|kurtosis,145.7025293096305
100,spectral_rolloff|max,144.45870992217897
101,sub_ons_1|mean,144.30910615951964
102,tempogram_192_223|kurtosis,143.5876607816664
103,r_com_x2|min,142.0170068834324
104,tempogram_32_63|skewness,141.27659827920044
105,g_com_x2|std,140.85237078704387
106,sub_ons_0|mean,140.68785818186237
107,magnitude_bin_2|median,139.03291975402897
108,tempogram_320_351|mean,135.49701696547362
109,tonal_centroid_1|max,133.5039189912043
110,tempogram_224_255|std,132.60048459852118
111,sub_ons_2|max,129.06323187589672
112,tempogram_0_31|max,128.73052219869754
113,pcm_zcr|max,127.65712088086963
114,ac_global|energy,125.47079052563237
115,centroid|energy,124.28988481348215
116,sub_ons_1|skewness,124.08820994067585
117,motion_continuity|std,123.60346201305676
118,spectral_variation|median,122.88228975531842
119,pcm_zcr_sma|max,122.12941641340285
120,sub_ons_0|std,121.75613924914705
121,sub_ons_1|slope,121.11169889113907
122,motion_continuity|mean,118.5264656256461
123,ac_global|mean,118.22491262738356
124,tempogram_160_191|slope,118.20400194233984
125,pcm_zcr_sma|std,118.00577925607641
126,sub_ons_1|energy,117.3760919619472
127,sub_ons_2|mean,115.41035509916912
128,magnitude_bin_2|min,113.4200831533378
129,sub_ons_2|slope,112.82030988958819
130,tempogram_192_223|slope,111.60203408449172
131,pcm_zcr|mean,109.91225304742002
132,color_weight|kurtosis,109.1593038664883
133,tempogram_32_63|median,107.34560822560687
134,pcm_zcr|median,107.1485759820417
135,color_activity|min,105.62325935761385
136,sub_ons_1|max,100.48515677131188
137,oenv|slope,96.3273902718069
138,pcm_zcr_sma|mean,93.37300939308687
139,pcm_zcr_sma|energy,91.8768576347363
140,color_energy|min,82.72221652326346
141,mean_mag|min,80.10233597772572
142,pcm_zcr|std,75.95136753104202
143,motion_continuity|min,53.40631261676435
144,fast_motion|min,12.581699372771254
