rank,feature,importance
1,r_com_x1|max,1987.0
2,chroma_cqt_11|kurtosis,1930.0
3,mean_saturation|max,1907.0
4,dominant_color_1_R|skewness,1851.0
5,magnitude_bin_4|slope,1755.0
6,colorfulnesss|max,1752.0
7,lspFreq[5]|kurtosis,1709.0
8,tempogram_32_63|kurtosis,1708.0
9,lspFreq_sma[6]|kurtosis,1701.0
10,fast_motion|kurtosis,1668.0
11,mfcc[12]|median,1662.0
12,dominant_color_2_R|std,1628.0
13,chroma_cqt_5|median,1615.0
14,lspFreq_sma[1]|kurtosis,1614.0
15,tempogram_0_31|skewness,1600.0
16,mfcc_sma[8]|slope,1577.0
17,chroma_cqt_3|median,1571.0
18,skewness|skewness,1570.0
19,color_energy|median,1570.0
20,chroma_cqt_4|energy,1551.0
21,chroma_cqt_6|max,1537.0
22,r_com_x2|skewness,1533.0
23,lspFreq_sma[7]|skewness,1532.0
24,magnitude_bin_1|slope,1525.0
25,lspFreq[3]|kurtosis,1524.0
26,fast_motion|std,1519.0
27,motion_continuity|energy,1514.0
28,mfcc_sma[11]|max,1512.0
29,sub_ons_2|median,1497.0
30,chroma_s_1|median,1494.0
31,colorfulnesss|median,1491.0
32,lspFreq[6]|median,1469.0
33,kurtosis|max,1465.0
34,pcm_zcr|kurtosis,1461.0
35,spectral_flux|skewness,1458.0
36,fast_motion|skewness,1458.0
37,tonal_centroid_3|max,1457.0
38,spectral_decrease|mean,1450.0
39,color_weight|kurtosis,1445.0
40,magnitude_bin_0|kurtosis,1441.0
41,mfcc_sma[8]|min,1440.0
42,spec_contr_5|max,1439.0
43,lspFreq_sma[5]|skewness,1421.0
44,motion_continuity|median,1420.0
45,ac_global|std,1411.0
46,spec_bw_time|max,1409.0
47,fast_motion|median,1394.0
48,tempogram_64_95|min,1381.0
49,mfcc[5]|min,1380.0
50,spec_contr_2|median,1379.0
51,magnitude_bin_6|skewness,1377.0
52,motion_continuity|skewness,1375.0
53,tonal_centroid_2|max,1368.0
54,mfcc_sma[3]|skewness,1367.0
55,sub_ons_1|median,1361.0
56,mean_brightness|kurtosis,1342.0
57,tonal_centroid_3|min,1341.0
58,magnitude_bin_8|skewness,1339.0
59,lspFreq[7]|skewness,1339.0
60,tempogram_192_223|kurtosis,1339.0
61,chroma_cqt_6|energy,1334.0
62,onset_frame|std,1331.0
63,spectral_variation|kurtosis,1328.0
64,spec_contr_0|median,1310.0
65,tonal_centroid_1|max,1309.0
66,tempogram_0_31|max,1296.0
67,tempogram_224_255|max,1295.0
68,chroma_t_3|median,1291.0
69,chroma_cqt_3|min,1284.0
70,magnitude_bin_5|min,1277.0
71,sub_ons_0|max,1262.0
72,magnitude_bin_0|median,1249.0
73,pcm_zcr|skewness,1235.0
74,magnitude_bin_3|skewness,1229.0
75,pcm_zcr_sma|slope,1214.0
76,motion_continuity|slope,1208.0
77,spectral_flux|median,1205.0
78,sub_ons_3|max,1192.0
79,lspFreq[3]|max,1188.0
80,spectral_flux|energy,1186.0
81,spectral_rolloff|energy,1182.0
82,spec_bw_time|median,1155.0
83,tempogram_320_351|mean,1151.0
84,mean_mag|std,1149.0
85,pcm_zcr_sma|min,1147.0
86,tempogram_32_63|skewness,1146.0
87,g_com_x2|kurtosis,1138.0
88,sub_ons_3|std,1117.0
89,tempogram_64_95|std,1111.0
90,sub_ons_2|max,1103.0
91,sub_ons_1|max,1093.0
92,spectral_variation|median,1086.0
93,tempogram_224_255|std,1080.0
94,skewness|median,1070.0
95,lpc_13|median,1059.0
96,ac_global|energy,1057.0
97,centroid|energy,1053.0
98,magnitude_bin_1|std,1050.0
99,magnitude_bin_0|max,1046.0
100,sub_ons_0|mean,1046.0
101,oenv|slope,1043.0
102,spectral_variation|min,1037.0
103,tempogram_0_31|std,1004.0
104,tempogram_160_191|slope,980.0
105,tempogram_160_191|skewness,980.0
106,tempogram_32_63|median,969.0
107,sub_ons_1|energy,958.0
108,g_com_x2|std,950.0
109,magnitude_bin_2|min,946.0
110,tempogram_32_63|std,940.0
111,pcm_zcr_sma|energy,928.0
112,sub_ons_2|slope,923.0
113,spectral_decrease|median,920.0
114,color_activity|min,918.0
115,magnitude_bin_2|energy,889.0
116,sub_ons_1|skewness,886.0
117,ac_global|min,884.0
118,sub_ons_1|slope,858.0
119,tempogram_192_223|slope,839.0
120,magnitude_bin_2|median,838.0
121,sub_ons_2|mean,831.0
122,magnitude_bin_1|energy,830.0
123,magnitude_bin_3|energy,810.0
124,color_energy|min,784.0
125,pcm_zcr|max,774.0
126,motion_continuity|std,764.0
127,spectral_rolloff|max,762.0
128,motion_continuity|mean,755.0
129,ac_global|mean,754.0
130,mean_brightness|min,754.0
131,pcm_zcr|median,747.0
132,pcm_zcr_sma|max,744.0
133,pcm_zcr_sma|mean,740.0
134,pcm_zcr|mean,739.0
135,sub_ons_1|mean,736.0
136,r_com_x2|min,731.0
137,pcm_zcr_sma|median,673.0
138,magnitude_bin_3|mean,663.0
139,sub_ons_0|std,657.0
140,pcm_zcr_sma|std,638.0
141,pcm_zcr|std,568.0
142,mean_mag|min,545.0
143,motion_continuity|min,455.0
144,fast_motion|min,38.0
