rank,feature,importance
1,color_energy|energy,485.69070108333324
2,mean_brightness|median,303.4861055953904
3,colorfulnesss|max,261.7569425060248
4,color_activity|max,235.40866570003323
5,magnitude_bin_2|max,156.00663182959357
6,color_energy|mean,156.00404022804616
7,chroma_cqt_5|max,147.08410459467797
8,magnitude_bin_1|slope,146.81729097956807
9,fast_motion|max,139.00957716025283
10,magnitude_bin_0|max,138.51302877178907
11,magnitude_bin_0|median,131.31001985627478
12,kurtosis|skewness,126.37850872479297
13,color_energy|max,125.2910230955279
14,mfcc[6]|min,125.00084040201233
15,lspFreq_sma[2]|max,124.42624276396802
16,pcm_zcr_sma|median,120.54336879327158
17,mfcc_sma[7]|median,120.5055462559807
18,mean_saturation|mean,118.87121834874907
19,chroma_cqt_4|energy,118.59551071101505
20,magnitude_bin_4|max,114.28441197940492
21,lspFreq[6]|median,109.94061041285914
22,motion_continuity|median,109.75147233201072
23,magnitude_bin_3|std,107.88879701476634
24,mfcc[9]|median,107.67566930733389
25,spectral_variation|min,107.19185622287026
26,mfcc[12]|max,104.13054380211877
27,chroma_cqt_1|max,104.04097872326702
28,lspFreq_sma[7]|max,102.52771137159644
29,colorfulnesss|median,102.41496828468935
30,mean_saturation|max,102.29281197342101
31,tempogram_224_255|max,101.67244637200787
32,spec_contr_0|median,101.62064639111964
33,mfcc_sma[8]|min,99.34711136561307
34,spec_bw_time|max,98.07837158915646
35,magnitude_bin_1|kurtosis,96.38074113351378
36,spectral_decrease|mean,95.93713450816489
37,spectral_decrease|median,95.61554368168254
38,magnitude_bin_0|kurtosis,94.10243063248288
39,colorfulnesss|energy,93.99186510578463
40,spec_contr_6|skewness,93.55048096611361
41,fast_motion|kurtosis,93.42982175632869
42,spec_contr_5|max,93.09588241632908
43,magnitude_bin_2|min,92.98305165333807
44,chroma_t_5|median,92.56876393286986
45,tempogram_0_31|skewness,91.7257900550706
46,spec_contr_0|max,91.5925863726672
47,magnitude_bin_5|skewness,91.55922390741063
48,chroma_t_1|skewness,90.79895131091723
49,sub_ons_3|std,90.20920013788951
50,chroma_t_11|median,89.87919055994521
51,sub_ons_2|mean,88.7425287079808
52,skewness|skewness,86.47136987095628
53,spec_contr_3|median,85.7754964289268
54,lspFreq_sma[5]|slope,85.10671278791345
55,magnitude_bin_0|std,84.74095439091272
56,tempogram_0_31|max,84.50297717264016
57,tempogram_288_319|std,84.17824117086641
58,oenv|median,84.10896111746426
59,spread|kurtosis,83.15725789635694
60,tonal_centroid_3|median,83.0717494551979
61,chroma_cqt_3|median,82.674379142621
62,spectral_flux|max,80.97228303969727
63,spectral_variation|median,80.87408740002094
64,spectral_rolloff|kurtosis,80.4332743132138
65,tempogram_160_191|slope,80.0149882848131
66,chroma_cqt_7|mean,79.61459854697223
67,pcm_zcr|median,79.11187163209142
68,motion_continuity|slope,78.05324820034143
69,spectral_flux|skewness,77.94760832641677
70,tempogram_224_255|std,77.77216764961531
71,sub_ons_1|max,76.79030701959576
72,oenv|mean,76.62027443765089
73,spectral_rolloff|max,76.5552957751144
74,skewness|kurtosis,76.25290426154663
75,magnitude_bin_2|std,74.7474544335329
76,mfcc_sma[3]|skewness,74.59665088274015
77,mean_mag|energy,74.13164704525958
78,sub_ons_2|max,73.95087469817742
79,mfcc[8]|max,73.68997250497603
80,onset_frame|kurtosis,73.59620953675537
81,lspFreq_sma[5]|max,73.04634718804617
82,r_com_x2|min,73.0246660563505
83,sub_ons_3|max,72.60335507869769
84,mean_mag|std,72.41309309832957
85,sub_ons_1|median,72.23370356855258
86,spec_contr_6|median,72.13698671315106
87,mean_saturation|energy,71.42832676427761
88,pcm_zcr_sma|kurtosis,71.38938368379172
89,lspFreq_sma[3]|median,70.38577580297637
90,lspFreq[3]|max,70.22617118040019
91,tempogram_32_63|kurtosis,70.1324562980558
92,tempogram_64_95|min,69.80865408891064
93,lspFreq_sma[7]|min,69.64048724019001
94,onset_frame|std,68.7104591405983
95,pcm_zcr_sma|slope,68.29709701704985
96,tempogram_64_95|std,67.35444534569311
97,tempogram_64_95|max,67.09864836838939
98,fast_motion|skewness,66.29453410486903
99,spread|max,65.37196822869183
100,ac_global|energy,65.09732975567606
101,tempogram_224_255|energy,64.91157181202915
102,mfcc[11]|kurtosis,64.55413237312712
103,sub_ons_0|mean,62.69478288197707
104,color_activity|mean,62.66063354051651
105,magnitude_bin_8|max,62.552388964145635
106,mean_mag|kurtosis,62.35804495059983
107,spec_contr_0|std,62.27959605812925
108,onset_frame|energy,61.883102529868495
109,magnitude_bin_1|min,61.446933691194545
110,motion_continuity|std,60.23713788520754
111,fast_motion|median,60.133872877585134
112,mean_mag|median,59.81469827787953
113,pcm_zcr_sma|skewness,59.4151280846834
114,ac_global|std,58.60147573120839
115,pcm_zcr_sma|energy,58.40477839641976
116,tempogram_160_191|skewness,58.34408725935117
117,pcm_zcr|kurtosis,58.23794125542526
118,sub_ons_3|median,57.75787763608522
119,sub_ons_0|max,57.75074045608694
120,magnitude_bin_7|median,57.36987996484336
121,pcm_zcr|max,56.72799802543437
122,magnitude_bin_5|kurtosis,55.852996827338515
123,tempogram_192_223|kurtosis,54.65497594928289
124,motion_continuity|skewness,53.98543539276448
125,spec_bw_time|median,51.13046589499925
126,sub_ons_2|skewness,51.02047880772773
127,pcm_zcr|mean,49.92702193842303
128,cent_time|skewness,49.141475267473055
129,ac_global|slope,48.44164803020094
130,onset_frame|slope,48.2247295926686
131,motion_continuity|kurtosis,47.57351776439705
132,sub_ons_0|slope,46.2891628545549
133,oenv|slope,45.21785341945601
134,tempogram_0_31|mean,44.0342625714931
135,ac_global|mean,43.80131006787343
136,colorfulnesss|min,42.351461774669005
137,tempogram_0_31|energy,40.92706485827415
138,tempogram_32_63|median,39.70992173434876
139,fast_motion|mean,39.4604423094446
140,color_energy|min,35.40085884639187
141,color_activity|min,32.424343900933145
142,sub_ons_0|min,6.845407820992477
143,fast_motion|min,1.0874395494574856
