rank,feature,importance
1,tonal_centroid_3|median,1846.0
2,lspFreq_sma[5]|slope,1809.0
3,mfcc_sma[7]|median,1801.0
4,mean_brightness|median,1756.0
5,fast_motion|skewness,1735.0
6,magnitude_bin_0|kurtosis,1691.0
7,spec_bw_time|max,1651.0
8,mfcc_sma[8]|min,1650.0
9,mfcc_sma[3]|skewness,1647.0
10,motion_continuity|median,1623.0
11,tempogram_160_191|slope,1591.0
12,chroma_cqt_3|median,1580.0
13,lspFreq[6]|median,1580.0
14,onset_frame|energy,1577.0
15,tempogram_64_95|std,1566.0
16,skewness|kurtosis,1561.0
17,tempogram_32_63|kurtosis,1556.0
18,magnitude_bin_1|slope,1555.0
19,mfcc[12]|max,1552.0
20,chroma_cqt_1|max,1548.0
21,mfcc[8]|max,1539.0
22,lspFreq_sma[7]|max,1507.0
23,tempogram_0_31|skewness,1506.0
24,mfcc[9]|median,1504.0
25,chroma_t_11|median,1503.0
26,spectral_rolloff|kurtosis,1493.0
27,colorfulnesss|max,1488.0
28,color_activity|max,1479.0
29,lspFreq_sma[7]|min,1461.0
30,skewness|skewness,1454.0
31,spec_contr_0|median,1454.0
32,tempogram_192_223|kurtosis,1446.0
33,chroma_cqt_7|mean,1440.0
34,chroma_cqt_4|energy,1406.0
35,mfcc[6]|min,1401.0
36,chroma_cqt_5|max,1395.0
37,magnitude_bin_1|kurtosis,1395.0
38,spec_contr_3|median,1392.0
39,chroma_t_1|skewness,1390.0
40,spec_contr_0|max,1390.0
41,magnitude_bin_0|max,1389.0
42,spread|kurtosis,1388.0
43,fast_motion|kurtosis,1369.0
44,sub_ons_1|max,1367.0
45,spectral_flux|skewness,1358.0
46,tempogram_64_95|min,1332.0
47,kurtosis|skewness,1330.0
48,mean_mag|std,1316.0
49,mfcc[11]|kurtosis,1313.0
50,sub_ons_1|median,1311.0
51,magnitude_bin_0|median,1299.0
52,motion_continuity|slope,1297.0
53,chroma_t_5|median,1296.0
54,color_energy|max,1271.0
55,color_energy|energy,1266.0
56,spec_contr_6|skewness,1256.0
57,sub_ons_3|max,1230.0
58,magnitude_bin_5|skewness,1223.0
59,pcm_zcr_sma|slope,1220.0
60,spectral_variation|min,1197.0
61,colorfulnesss|median,1189.0
62,ac_global|energy,1187.0
63,oenv|median,1172.0
64,spectral_decrease|mean,1170.0
65,fast_motion|max,1170.0
66,magnitude_bin_4|max,1168.0
67,oenv|slope,1166.0
68,magnitude_bin_2|max,1166.0
69,pcm_zcr_sma|kurtosis,1164.0
70,ac_global|std,1161.0
71,tempogram_224_255|max,1153.0
72,sub_ons_0|max,1152.0
73,spectral_variation|median,1143.0
74,tempogram_160_191|skewness,1140.0
75,spec_contr_5|max,1109.0
76,tempogram_288_319|std,1108.0
77,mean_saturation|energy,1105.0
78,spec_contr_0|std,1103.0
79,mean_saturation|max,1102.0
80,mean_saturation|mean,1097.0
81,spread|max,1092.0
82,sub_ons_2|max,1085.0
83,spectral_decrease|median,1075.0
84,pcm_zcr|mean,1073.0
85,motion_continuity|skewness,1073.0
86,onset_frame|kurtosis,1069.0
87,sub_ons_0|slope,1066.0
88,lspFreq_sma[2]|max,1062.0
89,colorfulnesss|energy,1062.0
90,spectral_flux|max,1057.0
91,lspFreq_sma[3]|median,1053.0
92,magnitude_bin_3|std,1053.0
93,magnitude_bin_2|min,1051.0
94,motion_continuity|std,1045.0
95,color_activity|mean,1033.0
96,lspFreq[3]|max,1012.0
97,lspFreq_sma[5]|max,1012.0
98,magnitude_bin_0|std,1005.0
99,mean_mag|kurtosis,1004.0
100,magnitude_bin_1|min,985.0
101,color_energy|mean,984.0
102,spec_contr_6|median,974.0
103,magnitude_bin_8|max,953.0
104,cent_time|skewness,952.0
105,tempogram_0_31|max,947.0
106,pcm_zcr|kurtosis,938.0
107,sub_ons_3|std,932.0
108,onset_frame|slope,914.0
109,ac_global|slope,912.0
110,tempogram_224_255|std,903.0
111,sub_ons_3|median,891.0
112,pcm_zcr_sma|skewness,886.0
113,onset_frame|std,885.0
114,oenv|mean,878.0
115,pcm_zcr_sma|energy,869.0
116,tempogram_224_255|energy,865.0
117,tempogram_64_95|max,862.0
118,spectral_rolloff|max,848.0
119,r_com_x2|min,847.0
120,magnitude_bin_7|median,844.0
121,sub_ons_0|mean,842.0
122,colorfulnesss|min,824.0
123,sub_ons_2|mean,819.0
124,sub_ons_2|skewness,808.0
125,magnitude_bin_5|kurtosis,802.0
126,pcm_zcr|max,793.0
127,motion_continuity|kurtosis,785.0
128,color_activity|min,784.0
129,magnitude_bin_2|std,781.0
130,mean_mag|median,768.0
131,mean_mag|energy,753.0
132,ac_global|mean,752.0
133,fast_motion|median,749.0
134,spec_bw_time|median,728.0
135,tempogram_0_31|mean,716.0
136,tempogram_32_63|median,660.0
137,pcm_zcr|median,652.0
138,color_energy|min,647.0
139,tempogram_0_31|energy,641.0
140,pcm_zcr_sma|median,618.0
141,fast_motion|mean,606.0
142,sub_ons_0|min,74.0
143,fast_motion|min,53.0
