rank,feature,importance
1,magnitude_bin_3|mean,866.4386941271673
2,magnitude_bin_3|energy,597.6604548491661
3,r_com_x1|max,534.2238084275932
4,magnitude_bin_2|energy,499.49514744647087
5,dominant_color_1_R|skewness,404.02077952516026
6,color_energy|median,366.5285545146348
7,colorfulnesss|max,337.39755477230483
8,sub_ons_2|median,330.1638394089001
9,lspFreq[3]|max,318.4729907249677
10,motion_continuity|median,315.72762606249375
11,magnitude_bin_4|slope,290.54811176283755
12,spec_contr_5|max,289.5313652459464
13,magnitude_bin_0|median,278.08816462123343
14,magnitude_bin_1|std,274.3062908064243
15,tonal_centroid_3|min,273.53968346983805
16,chroma_cqt_3|min,269.81910790230154
17,mfcc[5]|min,269.5511535974563
18,sub_ons_3|std,267.9416929224496
19,kurtosis|max,258.8977987556003
20,chroma_cqt_4|energy,257.4005283635393
