rank,feature,importance
1,r_com_x1|max,1987.0
2,chroma_cqt_11|kurtosis,1930.0
3,mean_saturation|max,1907.0
4,dominant_color_1_R|skewness,1851.0
5,magnitude_bin_4|slope,1755.0
6,colorfulnesss|max,1752.0
7,lspFreq[5]|kurtosis,1709.0
8,tempogram_32_63|kurtosis,1708.0
9,lspFreq_sma[6]|kurtosis,1701.0
10,fast_motion|kurtosis,1668.0
11,mfcc[12]|median,1662.0
12,dominant_color_2_R|std,1628.0
13,chroma_cqt_5|median,1615.0
14,lspFreq_sma[1]|kurtosis,1614.0
15,tempogram_0_31|skewness,1600.0
16,mfcc_sma[8]|slope,1577.0
17,chroma_cqt_3|median,1571.0
18,skewness|skewness,1570.0
19,color_energy|median,1570.0
20,chroma_cqt_4|energy,1551.0
