rank,feature,importance
1,color_energy|energy,485.69070108333324
2,mean_brightness|median,303.4861055953904
3,colorfulnesss|max,261.7569425060248
4,color_activity|max,235.40866570003323
5,magnitude_bin_2|max,156.00663182959357
6,color_energy|mean,156.00404022804616
7,chroma_cqt_5|max,147.08410459467797
8,magnitude_bin_1|slope,146.81729097956807
9,fast_motion|max,139.00957716025283
10,magnitude_bin_0|max,138.51302877178907
11,magnitude_bin_0|median,131.31001985627478
12,kurtosis|skewness,126.37850872479297
13,color_energy|max,125.2910230955279
14,mfcc[6]|min,125.00084040201233
15,lspFreq_sma[2]|max,124.42624276396802
16,pcm_zcr_sma|median,120.54336879327158
17,mfcc_sma[7]|median,120.5055462559807
18,mean_saturation|mean,118.87121834874907
19,chroma_cqt_4|energy,118.59551071101505
20,magnitude_bin_4|max,114.28441197940492
