rank,feature,importance
1,tonal_centroid_3|median,1846.0
2,lspFreq_sma[5]|slope,1809.0
3,mfcc_sma[7]|median,1801.0
4,mean_brightness|median,1756.0
5,fast_motion|skewness,1735.0
6,magnitude_bin_0|kurtosis,1691.0
7,spec_bw_time|max,1651.0
8,mfcc_sma[8]|min,1650.0
9,mfcc_sma[3]|skewness,1647.0
10,motion_continuity|median,1623.0
11,tempogram_160_191|slope,1591.0
12,chroma_cqt_3|median,1580.0
13,lspFreq[6]|median,1580.0
14,onset_frame|energy,1577.0
15,tempogram_64_95|std,1566.0
16,skewness|kurtosis,1561.0
17,tempogram_32_63|kurtosis,1556.0
18,magnitude_bin_1|slope,1555.0
19,mfcc[12]|max,1552.0
20,chroma_cqt_1|max,1548.0
