rank,feature,importance
1,magnitude_bin_3|mean,731.8396782715882
2,r_com_x1|max,635.6265323624386
3,magnitude_bin_3|energy,574.1503193573882
4,color_energy|median,554.6836416567975
5,dominant_color_1_R|skewness,525.675078879292
6,magnitude_bin_2|energy,497.7475802270766
7,magnitude_bin_4|slope,489.01986242506825
8,colorfulnesss|max,469.50138381884005
9,spectral_flux|skewness,464.94886111511204
10,kurtosis|max,452.3355451757572
11,spectral_rolloff|energy,437.05095643240094
12,spectral_variation|kurtosis,434.81413244637025
13,magnitude_bin_6|skewness,427.7254725739285
14,skewness|median,420.85764456322886
15,magnitude_bin_5|min,418.62262069754127
16,magnitude_bin_0|median,408.76047385553466
17,spectral_flux|energy,400.88240045655294
18,spectral_flux|median,400.7404446638104
19,spectral_variation|median,400.3299337039711
20,magnitude_bin_0|kurtosis,393.94054725177324
21,magnitude_bin_1|std,384.779990466748
22,spec_bw_time|median,384.7766714186508
23,spectral_variation|min,384.3338871517845
24,mean_saturation|max,375.729751008844
25,magnitude_bin_1|slope,370.65171305824026
26,magnitude_bin_0|max,368.21079480942205
27,magnitude_bin_3|skewness,366.72503112729163
28,colorfulnesss|median,364.8541943295818
29,spec_bw_time|max,360.4487851968369
30,spectral_decrease|mean,359.6326322506184
31,magnitude_bin_8|skewness,358.5475965195812
32,spectral_decrease|median,347.7935367352301
33,skewness|skewness,346.4161539767463
34,dominant_color_2_R|std,346.27027999296877
35,spectral_rolloff|max,345.5836578204217
36,centroid|energy,342.55468605037726
37,mean_brightness|kurtosis,331.3728873921396
38,r_com_x2|skewness,316.6634096721449
39,magnitude_bin_1|energy,313.33303753934405
40,magnitude_bin_2|min,313.13734332557294
41,g_com_x2|std,312.8811241628426
42,magnitude_bin_2|median,290.72573143894726
43,color_weight|kurtosis,270.33093383569314
44,color_activity|min,268.07195040041336
45,g_com_x2|kurtosis,264.3085797547923
46,mean_brightness|min,263.48718856042234
47,r_com_x2|min,241.73865279430203
48,color_energy|min,176.25318695846988
