rank,feature,importance
1,r_com_x1|max,4603.0
2,spec_bw_time|max,4387.0
3,spectral_flux|skewness,4352.0
4,magnitude_bin_0|kurtosis,4308.0
5,dominant_color_1_R|skewness,4246.0
6,mean_saturation|max,4153.0
7,dominant_color_2_R|std,4137.0
8,magnitude_bin_1|slope,4120.0
9,spec_bw_time|median,4099.0
10,color_energy|median,4091.0
11,skewness|skewness,4071.0
12,spectral_variation|kurtosis,4039.0
13,magnitude_bin_4|slope,3990.0
14,colorfulnesss|max,3864.0
15,spectral_rolloff|max,3825.0
16,kurtosis|max,3785.0
17,magnitude_bin_8|skewness,3770.0
18,spectral_rolloff|energy,3736.0
19,spectral_flux|energy,3736.0
20,spectral_decrease|mean,3733.0
21,magnitude_bin_3|skewness,3730.0
22,spectral_variation|min,3727.0
23,magnitude_bin_5|min,3690.0
24,magnitude_bin_0|max,3665.0
25,r_com_x2|skewness,3653.0
26,skewness|median,3591.0
27,colorfulnesss|median,3490.0
28,magnitude_bin_6|skewness,3489.0
29,centroid|energy,3480.0
30,mean_brightness|kurtosis,3475.0
31,magnitude_bin_1|std,3440.0
32,spectral_flux|median,3356.0
33,color_weight|kurtosis,3327.0
34,g_com_x2|std,3308.0
35,g_com_x2|kurtosis,3178.0
36,spectral_decrease|median,3166.0
37,spectral_variation|median,3162.0
38,magnitude_bin_0|median,3146.0
39,magnitude_bin_2|energy,3122.0
40,magnitude_bin_2|min,3107.0
41,magnitude_bin_2|median,3054.0
42,magnitude_bin_3|energy,2905.0
43,magnitude_bin_1|energy,2802.0
44,magnitude_bin_3|mean,2589.0
45,mean_brightness|min,2203.0
46,r_com_x2|min,2163.0
47,color_activity|min,2152.0
48,color_energy|min,1985.0
