rank,feature,importance
1,color_energy|energy,400.47014760305933
2,mean_brightness|median,343.8245733234736
3,color_activity|max,286.90207242231503
4,colorfulnesss|max,286.85784891952983
5,magnitude_bin_2|max,227.6553530527271
6,magnitude_bin_0|median,223.15570215196243
7,magnitude_bin_0|max,220.4820308888268
8,magnitude_bin_1|slope,209.34860492167044
9,color_energy|mean,208.61680172092196
10,colorfulnesss|median,205.14608678860472
11,spectral_flux|skewness,193.95960626956432
12,spectral_variation|min,192.77008451107622
13,skewness|skewness,192.18201244456264
14,magnitude_bin_7|median,188.59738034700237
15,spec_bw_time|median,184.86576001926278
16,spectral_variation|median,183.13788306428438
17,magnitude_bin_1|kurtosis,182.6567798358163
18,spectral_decrease|median,182.55059988414374
19,kurtosis|skewness,180.0813670803242
20,magnitude_bin_0|kurtosis,179.57557512589383
21,magnitude_bin_2|min,173.92513901663415
22,magnitude_bin_3|std,168.00327915642643
23,spectral_decrease|mean,166.60550269769237
24,spread|max,164.6040605396579
25,spectral_rolloff|kurtosis,164.31402914266656
26,mean_saturation|mean,163.4682371842457
27,magnitude_bin_8|max,160.20054823584337
28,magnitude_bin_0|std,159.97852927590418
29,spectral_rolloff|max,159.392632062553
30,mean_saturation|max,159.38499769395528
31,cent_time|skewness,159.27892625144463
32,magnitude_bin_4|max,158.07440894523344
33,spec_bw_time|max,158.02585774013454
34,spectral_flux|max,156.77737476349884
35,color_energy|max,155.0619328798132
36,magnitude_bin_5|skewness,152.16142082384096
37,skewness|kurtosis,147.68679866118538
38,colorfulnesss|energy,146.62902734756483
39,spread|kurtosis,143.95029187996204
40,magnitude_bin_1|min,135.1101731818948
41,color_activity|mean,131.03867855815804
42,r_com_x2|min,128.0886581432267
43,magnitude_bin_2|std,124.89052663694716
44,mean_saturation|energy,116.60335232997417
45,magnitude_bin_5|kurtosis,110.84205445537177
46,colorfulnesss|min,82.03345390909729
47,color_activity|min,72.38092407442255
48,color_energy|min,65.84826031966972
