rank,feature,importance
1,magnitude_bin_1|slope,4629.0
2,skewness|kurtosis,4572.0
3,mean_brightness|median,4507.0
4,spectral_rolloff|kurtosis,4353.0
5,skewness|skewness,4315.0
6,magnitude_bin_0|kurtosis,4274.0
7,spread|kurtosis,4237.0
8,spec_bw_time|max,4185.0
9,spectral_flux|max,4141.0
10,spectral_flux|skewness,4101.0
11,kurtosis|skewness,4050.0
12,magnitude_bin_1|kurtosis,3944.0
13,spectral_variation|median,3907.0
14,spectral_variation|min,3899.0
15,spectral_decrease|mean,3784.0
16,spec_bw_time|median,3763.0
17,colorfulnesss|max,3726.0
18,color_energy|max,3686.0
19,spread|max,3665.0
20,magnitude_bin_4|max,3639.0
21,color_activity|max,3629.0
22,magnitude_bin_7|median,3601.0
23,cent_time|skewness,3579.0
24,magnitude_bin_3|std,3563.0
25,magnitude_bin_0|max,3538.0
26,colorfulnesss|median,3537.0
27,magnitude_bin_5|skewness,3496.0
28,magnitude_bin_0|std,3488.0
29,magnitude_bin_0|median,3454.0
30,spectral_rolloff|max,3397.0
31,magnitude_bin_2|min,3349.0
32,magnitude_bin_2|max,3348.0
33,mean_saturation|max,3278.0
34,magnitude_bin_8|max,3250.0
35,spectral_decrease|median,3237.0
36,color_energy|mean,3232.0
37,color_activity|mean,3227.0
38,colorfulnesss|energy,3207.0
39,magnitude_bin_1|min,3189.0
40,magnitude_bin_2|std,3124.0
41,color_energy|energy,3055.0
42,mean_saturation|mean,2915.0
43,r_com_x2|min,2769.0
44,mean_saturation|energy,2755.0
45,magnitude_bin_5|kurtosis,2582.0
46,colorfulnesss|min,2040.0
47,color_activity|min,2017.0
48,color_energy|min,1967.0
