index,feature
0,magnitude_bin_2|energy
1,magnitude_bin_2|median
2,magnitude_bin_2|min
3,magnitude_bin_6|skewness
4,magnitude_bin_0|max
5,magnitude_bin_0|median
6,magnitude_bin_0|kurtosis
7,magnitude_bin_1|std
8,magnitude_bin_1|slope
9,magnitude_bin_1|energy
10,magnitude_bin_4|slope
11,magnitude_bin_3|energy
12,magnitude_bin_3|skewness
13,magnitude_bin_3|mean
14,magnitude_bin_8|skewness
15,magnitude_bin_5|min
16,colorfulnesss|max
17,colorfulnesss|median
18,mean_saturation|max
19,color_energy|min
20,color_energy|median
21,r_com_x2|skewness
22,r_com_x2|min
23,mean_brightness|min
24,mean_brightness|kurtosis
25,dominant_color_2_R|std
26,g_com_x2|kurtosis
27,g_com_x2|std
28,color_activity|min
29,r_com_x1|max
30,dominant_color_1_R|skewness
31,color_weight|kurtosis
32,spectral_variation|median
33,spectral_variation|min
34,spectral_variation|kurtosis
35,spectral_decrease|median
36,spectral_decrease|mean
37,spectral_flux|energy
38,spectral_flux|median
39,spectral_flux|skewness
40,kurtosis|max
41,skewness|median
42,skewness|skewness
43,spec_bw_time|median
44,spec_bw_time|max
45,centroid|energy
46,spectral_rolloff|max
47,spectral_rolloff|energy
