index,feature
0,magnitude_bin_0|max
1,magnitude_bin_0|median
2,magnitude_bin_0|kurtosis
3,magnitude_bin_0|std
4,magnitude_bin_5|skewness
5,magnitude_bin_5|kurtosis
6,magnitude_bin_2|max
7,magnitude_bin_2|std
8,magnitude_bin_2|min
9,magnitude_bin_3|std
10,magnitude_bin_4|max
11,magnitude_bin_7|median
12,magnitude_bin_1|kurtosis
13,magnitude_bin_1|min
14,magnitude_bin_1|slope
15,magnitude_bin_8|max
16,color_energy|mean
17,color_energy|max
18,color_energy|energy
19,color_energy|min
20,colorfulnesss|energy
21,colorfulnesss|max
22,colorfulnesss|median
23,colorfulnesss|min
24,mean_saturation|mean
25,mean_saturation|max
26,mean_saturation|energy
27,mean_brightness|median
28,color_activity|max
29,color_activity|min
30,color_activity|mean
31,r_com_x2|min
32,spectral_variation|min
33,spectral_variation|median
34,spectral_decrease|median
35,spectral_decrease|mean
36,kurtosis|skewness
37,spec_bw_time|median
38,spec_bw_time|max
39,spectral_flux|skewness
40,spectral_flux|max
41,spread|max
42,spread|kurtosis
43,spectral_rolloff|max
44,spectral_rolloff|kurtosis
45,cent_time|skewness
46,skewness|skewness
47,skewness|kurtosis
