rank,feature,importance
1,magnitude_bin_3|mean,731.8396782715882
2,r_com_x1|max,635.6265323624386
3,magnitude_bin_3|energy,574.1503193573882
4,color_energy|median,554.6836416567975
5,dominant_color_1_R|skewness,525.675078879292
6,magnitude_bin_2|energy,497.7475802270766
7,magnitude_bin_4|slope,489.01986242506825
8,colorfulnesss|max,469.50138381884005
9,spectral_flux|skewness,464.94886111511204
10,kurtosis|max,452.3355451757572
11,spectral_rolloff|energy,437.05095643240094
12,spectral_variation|kurtosis,434.81413244637025
13,magnitude_bin_6|skewness,427.7254725739285
14,skewness|median,420.85764456322886
15,magnitude_bin_5|min,418.62262069754127
16,magnitude_bin_0|median,408.76047385553466
17,spectral_flux|energy,400.88240045655294
18,spectral_flux|median,400.7404446638104
19,spectral_variation|median,400.3299337039711
20,magnitude_bin_0|kurtosis,393.94054725177324
