rank,feature,importance
1,r_com_x1|max,4603.0
2,spec_bw_time|max,4387.0
3,spectral_flux|skewness,4352.0
4,magnitude_bin_0|kurtosis,4308.0
5,dominant_color_1_R|skewness,4246.0
6,mean_saturation|max,4153.0
7,dominant_color_2_R|std,4137.0
8,magnitude_bin_1|slope,4120.0
9,spec_bw_time|median,4099.0
10,color_energy|median,4091.0
11,skewness|skewness,4071.0
12,spectral_variation|kurtosis,4039.0
13,magnitude_bin_4|slope,3990.0
14,colorfulnesss|max,3864.0
15,spectral_rolloff|max,3825.0
16,kurtosis|max,3785.0
17,magnitude_bin_8|skewness,3770.0
18,spectral_rolloff|energy,3736.0
19,spectral_flux|energy,3736.0
20,spectral_decrease|mean,3733.0
