rank,feature,importance
1,color_energy|energy,400.47014760305933
2,mean_brightness|median,343.8245733234736
3,color_activity|max,286.90207242231503
4,colorfulnesss|max,286.85784891952983
5,magnitude_bin_2|max,227.6553530527271
6,magnitude_bin_0|median,223.15570215196243
7,magnitude_bin_0|max,220.4820308888268
8,magnitude_bin_1|slope,209.34860492167044
9,color_energy|mean,208.61680172092196
10,colorfulnesss|median,205.14608678860472
11,spectral_flux|skewness,193.95960626956432
12,spectral_variation|min,192.77008451107622
13,skewness|skewness,192.18201244456264
14,magnitude_bin_7|median,188.59738034700237
15,spec_bw_time|median,184.86576001926278
16,spectral_variation|median,183.13788306428438
17,magnitude_bin_1|kurtosis,182.6567798358163
18,spectral_decrease|median,182.55059988414374
19,kurtosis|skewness,180.0813670803242
20,magnitude_bin_0|kurtosis,179.57557512589383
