rank,feature,importance
1,magnitude_bin_1|slope,4629.0
2,skewness|kurtosis,4572.0
3,mean_brightness|median,4507.0
4,spectral_rolloff|kurtosis,4353.0
5,skewness|skewness,4315.0
6,magnitude_bin_0|kurtosis,4274.0
7,spread|kurtosis,4237.0
8,spec_bw_time|max,4185.0
9,spectral_flux|max,4141.0
10,spectral_flux|skewness,4101.0
11,kurtosis|skewness,4050.0
12,magnitude_bin_1|kurtosis,3944.0
13,spectral_variation|median,3907.0
14,spectral_variation|min,3899.0
15,spectral_decrease|mean,3784.0
16,spec_bw_time|median,3763.0
17,colorfulnesss|max,3726.0
18,color_energy|max,3686.0
19,spread|max,3665.0
20,magnitude_bin_4|max,3639.0
