rank,feature,importance
1,magnitude_bin_2|energy,1128.0839802349374
2,magnitude_bin_3|energy,962.1092974577941
3,magnitude_bin_3|mean,841.2188675924353
4,color_energy|median,721.5032174709359
5,r_com_x1|max,671.7961712331562
6,colorfulnesss|max,541.5075597613022
7,lspFreq[3]|max,483.25331567666035
8,motion_continuity|median,472.71435347517775
9,dominant_color_1_R|skewness,467.29596519415645
10,magnitude_bin_2|median,458.7708923858029
11,magnitude_bin_1|std,432.05209105138647
12,chroma_cqt_3|min,398.1163091122669
13,kurtosis|max,393.20823954984587
14,spectral_flux|energy,381.34105259359785
15,fast_motion|kurtosis,380.7747844572905
16,chroma_cqt_4|energy,379.9481913036816
17,mfcc_sma[3]|skewness,370.8942158481559
18,magnitude_bin_0|kurtosis,369.9664413593173
19,spec_contr_2|median,369.7487967713867
20,tonal_centroid_3|min,363.0338619447084
21,mfcc[5]|min,358.5190193280596
22,mfcc_sma[8]|min,350.3175279019488
23,fast_motion|std,349.57841199878385
24,mfcc[12]|median,347.7810392934871
25,chroma_cqt_11|kurtosis,347.5755533737465
26,magnitude_bin_0|max,344.9446563074787
27,mfcc_sma[11]|max,340.1390649547816
28,tonal_centroid_2|max,339.77068541829976
29,lspFreq[6]|median,336.40872306310393
30,chroma_cqt_5|median,336.0970172366924
31,mfcc_sma[8]|slope,331.5017505885535
32,magnitude_bin_0|median,331.48080229780953
33,spec_contr_5|max,330.7351302404749
34,F0env|skewness,327.03809267571523
35,spec_contr_0|median,325.9466457322469
36,lspFreq_sma[6]|kurtosis,324.9652863829663
37,skewness|skewness,323.53088141741205
38,spectral_flux|skewness,323.468730155666
39,magnitude_bin_8|skewness,321.72546604823344
40,lspFreq_sma[1]|kurtosis,319.7895120810672
41,fast_motion|skewness,317.8165126537442
42,mean_saturation|max,317.5433313954703
43,magnitude_bin_1|energy,316.71673612482346
44,motion_continuity|slope,315.1381098421625
45,colorfulnesss|median,310.8348072921108
46,g_com_x2|kurtosis,310.4869307300578
47,magnitude_bin_1|slope,310.4544731263027
48,tonal_centroid_1|max,307.52457620907103
49,F0|skewness,306.28912899494446
50,mean_brightness|min,305.13937263639673
51,spectral_variation|min,302.98212619093556
52,magnitude_bin_4|slope,299.97778553224816
53,pcm_zcr|kurtosis,299.50465784227026
54,lspFreq[3]|kurtosis,299.47126043211847
55,spectral_decrease|mean,296.17866094355577
56,chroma_s_1|median,293.7617289288082
57,chroma_t_3|median,289.9531646829182
58,ac_global|std,287.4367384194338
59,dominant_color_2_R|std,282.8966676958844
60,lspFreq[5]|kurtosis,282.70091471270644
61,spectral_variation|median,280.7737359470925
62,r_com_x2|skewness,279.1044558813321
63,F0env|energy,277.93507502470607
64,magnitude_bin_6|skewness,276.4008459683155
65,tonal_centroid_3|max,276.2482502004025
66,chroma_cqt_6|max,275.5465265823368
67,fast_motion|median,273.82113939651595
68,pcm_zcr_sma|median,273.2398877058786
69,lspFreq_sma[7]|skewness,273.0008826655585
70,magnitude_bin_3|skewness,272.6389508755574
71,pcm_zcr_sma|slope,270.6017386973367
72,lspFreq[7]|skewness,269.57846978179896
73,chroma_cqt_3|median,267.71028488519823
74,spectral_decrease|median,267.65403111326304
75,motion_continuity|energy,267.2857167759553
76,voiceProb_sma|skewness,267.2454659656614
77,spec_bw_time|max,265.3788181071541
78,pcm_zcr|max,265.2903554238346
79,chroma_cqt_6|energy,264.52261435682533
80,tempogram_64_95|min,264.22378343513265
81,spectral_rolloff|energy,262.20998006707214
82,voiceProb|min,262.1495359943874
83,tempogram_0_31|std,259.88037049171373
84,oenv|slope,259.5481866025784
85,tempogram_160_191|skewness,257.73817063328715
86,tempogram_64_95|std,257.419547548855
87,lspFreq_sma[5]|skewness,256.59747980508746
88,mean_mag|std,255.54806333372744
89,tempogram_32_63|kurtosis,254.25792229119475
90,motion_continuity|skewness,253.36169997857542
91,mean_brightness|kurtosis,251.36548759634934
92,magnitude_bin_5|min,249.93470444860395
93,tempogram_224_255|std,249.93372126921804
94,color_weight|kurtosis,249.88496123408822
95,spectral_flux|median,246.32659519089339
96,spectral_variation|kurtosis,245.25640189129808
97,ac_global|energy,239.40738102641467
98,voiceProb_sma|kurtosis,234.52130355550867
99,F0|slope,234.16659209630325
100,skewness|median,233.61546501431258
101,color_activity|min,233.52045214340433
102,tempogram_32_63|std,232.8911337483214
103,pcm_zcr_sma|min,230.55550095392755
104,tempogram_320_351|mean,229.13360402912167
105,magnitude_bin_2|min,227.5811080199428
106,voiceProb|mean,224.23440176466693
107,tempogram_0_31|max,220.08905566524663
108,tempogram_32_63|skewness,220.0797102259612
109,tempogram_224_255|max,219.3255135446143
110,pcm_zcr_sma|max,218.98284215625245
111,tempogram_0_31|skewness,217.65072848698048
112,tempogram_32_63|median,212.3234579936717
113,lpc_13|median,208.44121126714617
114,spec_bw_time|median,208.24259415147662
115,voiceProb_sma|max,204.3375413623471
116,centroid|energy,201.7594365787266
117,pcm_zcr_sma|std,196.5465078005359
118,pcm_zcr_sma|energy,195.36033345843407
119,voiceProb_sma|mean,195.16995230442785
120,F0|max,193.2368957462313
121,pcm_zcr|skewness,191.40294965944713
122,ac_global|min,189.55004299532482
123,tempogram_160_191|slope,189.23496861608055
124,pcm_zcr_sma|mean,188.72879562800244
125,voiceProb_sma|median,188.71162607009364
126,pcm_zcr|median,187.36284688685737
127,spectral_rolloff|max,184.24922959574178
128,motion_continuity|mean,183.02306592868808
129,g_com_x2|std,178.06330468279702
130,ac_global|mean,175.97893780385675
131,motion_continuity|std,175.91497077837084
132,pcm_zcr|mean,173.2324835731406
133,tempogram_192_223|kurtosis,170.72445018481267
134,r_com_x2|min,168.99174173285792
135,tempogram_192_223|slope,160.69707618882057
136,color_energy|min,156.94125178885224
137,F0env|median,155.17628587060972
138,F0env|max,152.57700571956593
139,mean_mag|min,135.92007803198464
140,F0env|mean,131.53907690927008
141,pcm_zcr|std,123.11645458507064
142,motion_continuity|min,82.46870083430531
143,F0env_sma|median,39.98707991794254
144,fast_motion|min,16.41310001070815
