rank,feature,importance
1,r_com_x1|max,2707.0
2,mfcc[12]|median,2363.0
3,chroma_cqt_4|energy,2278.0
4,mfcc_sma[11]|max,2212.0
5,color_energy|median,2204.0
6,chroma_cqt_11|kurtosis,2157.0
7,dominant_color_1_R|skewness,2137.0
8,spectral_flux|skewness,2133.0
9,mean_saturation|max,2126.0
10,chroma_cqt_3|median,2126.0
11,fast_motion|kurtosis,2120.0
12,mfcc_sma[3]|skewness,2067.0
13,F0env|energy,2065.0
14,mfcc_sma[8]|slope,2063.0
15,ac_global|energy,2062.0
16,fast_motion|skewness,2058.0
17,magnitude_bin_0|kurtosis,2053.0
18,lspFreq[5]|kurtosis,2048.0
19,lspFreq[6]|median,2045.0
20,lspFreq[3]|kurtosis,2009.0
21,chroma_cqt_5|median,2000.0
22,dominant_color_2_R|std,1987.0
23,tempogram_64_95|min,1982.0
24,tonal_centroid_3|min,1977.0
25,tonal_centroid_3|max,1976.0
26,magnitude_bin_4|slope,1972.0
27,motion_continuity|median,1972.0
28,colorfulnesss|max,1972.0
29,magnitude_bin_1|slope,1968.0
30,F0|slope,1946.0
31,lspFreq_sma[1]|kurtosis,1941.0
32,lspFreq_sma[6]|kurtosis,1918.0
33,lspFreq_sma[7]|skewness,1901.0
34,colorfulnesss|median,1894.0
35,skewness|skewness,1876.0
36,mfcc[5]|min,1871.0
37,spec_contr_0|median,1866.0
38,oenv|slope,1865.0
39,mfcc_sma[8]|min,1861.0
40,color_weight|kurtosis,1839.0
41,r_com_x2|skewness,1825.0
42,chroma_cqt_6|max,1819.0
43,tempogram_32_63|kurtosis,1807.0
44,motion_continuity|energy,1799.0
45,lspFreq_sma[5]|skewness,1783.0
46,spec_contr_2|median,1782.0
47,chroma_cqt_6|energy,1765.0
48,mean_brightness|kurtosis,1758.0
49,ac_global|std,1755.0
50,spec_bw_time|max,1748.0
51,motion_continuity|skewness,1745.0
52,tonal_centroid_2|max,1743.0
53,kurtosis|max,1733.0
54,mean_mag|std,1725.0
55,chroma_cqt_3|min,1725.0
56,tempogram_0_31|skewness,1713.0
57,tonal_centroid_1|max,1700.0
58,lspFreq[7]|skewness,1691.0
59,fast_motion|median,1690.0
60,voiceProb|min,1690.0
61,magnitude_bin_3|skewness,1680.0
62,F0env|skewness,1675.0
63,lspFreq[3]|max,1673.0
64,spectral_variation|min,1669.0
65,chroma_s_1|median,1668.0
66,voiceProb_sma|skewness,1668.0
67,tempogram_64_95|std,1659.0
68,F0|skewness,1652.0
69,spectral_decrease|mean,1648.0
70,spectral_flux|energy,1647.0
71,magnitude_bin_0|max,1646.0
72,pcm_zcr_sma|slope,1646.0
73,spec_contr_5|max,1642.0
74,pcm_zcr|kurtosis,1627.0
75,pcm_zcr|skewness,1620.0
76,spectral_variation|kurtosis,1615.0
77,magnitude_bin_0|median,1609.0
78,voiceProb_sma|kurtosis,1592.0
79,tempogram_224_255|max,1591.0
80,tempogram_0_31|max,1584.0
81,tempogram_192_223|kurtosis,1582.0
82,fast_motion|std,1576.0
83,magnitude_bin_8|skewness,1569.0
84,magnitude_bin_6|skewness,1566.0
85,chroma_t_3|median,1563.0
86,tempogram_320_351|mean,1557.0
87,spectral_flux|median,1553.0
88,tempogram_32_63|skewness,1536.0
89,g_com_x2|kurtosis,1530.0
90,spectral_rolloff|energy,1497.0
91,pcm_zcr_sma|min,1481.0
92,lpc_13|median,1469.0
93,tempogram_224_255|std,1449.0
94,tempogram_0_31|std,1432.0
95,tempogram_32_63|std,1432.0
96,spectral_variation|median,1424.0
97,tempogram_160_191|skewness,1422.0
98,F0|max,1419.0
99,magnitude_bin_5|min,1418.0
100,motion_continuity|slope,1396.0
101,voiceProb_sma|max,1387.0
102,magnitude_bin_1|std,1384.0
103,voiceProb_sma|median,1358.0
104,centroid|energy,1356.0
105,spectral_decrease|median,1350.0
106,spectral_rolloff|max,1337.0
107,g_com_x2|std,1326.0
108,skewness|median,1309.0
109,spec_bw_time|median,1305.0
110,tempogram_160_191|slope,1301.0
111,magnitude_bin_2|min,1300.0
112,F0env|mean,1259.0
113,color_activity|min,1246.0
114,magnitude_bin_2|median,1241.0
115,F0env|max,1237.0
116,ac_global|min,1218.0
117,magnitude_bin_3|energy,1184.0
118,magnitude_bin_1|energy,1139.0
119,pcm_zcr_sma|energy,1136.0
120,tempogram_192_223|slope,1134.0
121,voiceProb|mean,1114.0
122,mean_brightness|min,1104.0
123,tempogram_32_63|median,1098.0
124,voiceProb_sma|mean,1089.0
125,magnitude_bin_2|energy,1079.0
126,motion_continuity|mean,1060.0
127,ac_global|mean,1045.0
128,F0env|median,1030.0
129,r_com_x2|min,943.0
130,pcm_zcr|mean,925.0
131,magnitude_bin_3|mean,917.0
132,pcm_zcr|std,887.0
133,motion_continuity|std,884.0
134,color_energy|min,872.0
135,pcm_zcr_sma|mean,862.0
136,pcm_zcr|max,862.0
137,pcm_zcr_sma|max,858.0
138,pcm_zcr_sma|std,855.0
139,pcm_zcr_sma|median,845.0
140,pcm_zcr|median,813.0
141,mean_mag|min,783.0
142,motion_continuity|min,510.0
143,F0env_sma|median,308.0
144,fast_motion|min,55.0
