rank,feature,importance
1,mean_brightness|median,528.9441091179251
2,color_activity|max,526.8319185307605
3,color_energy|energy,511.57299863590686
4,color_energy|mean,348.91798834267365
5,mean_saturation|mean,276.35001247993137
6,colorfulnesss|max,250.63358564702511
7,magnitude_bin_0|max,243.08378196597704
8,magnitude_bin_0|median,196.22722700725603
9,colorfulnesss|energy,187.19755096550398
10,magnitude_bin_2|max,186.4475934855576
11,color_energy|max,185.64749104832026
12,tempogram_224_255|max,179.30542050037275
13,tonal_centroid_3|median,177.8569658001883
14,mfcc[6]|min,177.51031453819076
15,lspFreq[6]|median,177.23498064548653
16,colorfulnesss|median,175.59504025450454
17,spec_contr_6|skewness,174.0695017791818
18,chroma_cqt_1|max,171.99568894369804
19,chroma_cqt_5|max,170.29435969604768
20,fast_motion|max,168.0840336377533
21,spectral_variation|min,162.44525016574926
22,spectral_decrease|median,160.7874022750888
23,tempogram_0_31|max,160.2973207436042
24,mfcc[8]|max,159.27445758233307
25,mfcc_sma[7]|median,158.36800433525332
26,mfcc_sma[8]|min,156.7150993610585
27,magnitude_bin_5|skewness,155.37056929506562
28,chroma_t_11|median,153.45024573978276
29,oenv|median,152.68452189423627
30,lspFreq_sma[2]|max,152.38604545360909
31,magnitude_bin_8|max,149.62948807948032
32,spec_contr_5|max,149.3982449167802
33,chroma_cqt_7|mean,148.36395958930513
34,tempogram_0_31|skewness,148.2225135899928
35,mfcc[9]|median,147.4894864441626
36,mfcc[12]|max,146.90994557494946
37,magnitude_bin_1|slope,146.289642648141
38,spec_contr_3|median,145.44712731993306
39,magnitude_bin_4|max,144.0935409894364
40,mfcc_sma[3]|skewness,142.4144102268388
41,magnitude_bin_3|std,141.7698090791015
42,spectral_decrease|mean,140.65045803423914
43,magnitude_bin_0|kurtosis,139.23082175981628
44,spec_contr_0|max,139.0830319566171
45,chroma_cqt_4|energy,138.7851810998809
46,oenv|mean,137.96019569833044
47,tempogram_64_95|min,136.44010130657716
48,chroma_t_5|median,135.83195657877894
49,mean_saturation|energy,134.24773610995385
50,magnitude_bin_2|std,133.78817020880751
51,kurtosis|skewness,131.49899871045614
52,tempogram_224_255|std,130.10074285259753
53,fast_motion|skewness,129.33340372112116
54,skewness|skewness,128.60767265575146
55,F0env|skewness,128.52542529032388
56,magnitude_bin_2|min,126.87653330435364
57,F0|mean,125.92790552984678
58,spectral_rolloff|kurtosis,125.83452198447873
59,fast_motion|kurtosis,125.83019808875656
60,lspFreq_sma[5]|slope,125.07044807217653
61,spectral_flux|max,124.23267252460448
62,tempogram_224_255|energy,123.57076129429788
63,magnitude_bin_1|min,123.40155202916662
64,spread|max,123.35757043444869
65,lspFreq_sma[7]|max,123.16244458690299
66,spec_bw_time|max,122.7804605679101
67,mfcc[11]|kurtosis,122.49321863443492
68,motion_continuity|median,121.5216392611269
69,chroma_t_1|skewness,120.88985907656411
70,mean_saturation|max,120.71494089893255
71,pcm_zcr|kurtosis,119.91921946321537
72,magnitude_bin_1|kurtosis,119.3181885174311
73,spec_contr_0|std,118.879148227315
74,spec_contr_6|median,117.61916309445587
75,spectral_variation|median,117.49697819533772
76,spread|kurtosis,117.43617916945107
77,lspFreq[3]|max,117.16745905130756
78,chroma_cqt_3|median,117.05046452050556
79,spec_contr_0|median,116.80458634060233
80,lspFreq_sma[3]|median,116.14399958733054
81,tempogram_160_191|slope,115.29545201945444
82,lspFreq_sma[7]|min,113.6941604123113
83,tempogram_192_223|kurtosis,111.83654618703326
84,pcm_zcr|max,111.64022476126019
85,skewness|kurtosis,110.52789859886889
86,tempogram_32_63|kurtosis,109.23590099226999
87,spectral_flux|skewness,105.70843453787359
88,voiceProb|max,105.55681747109863
89,lspFreq_sma[5]|max,105.42296660106174
90,tempogram_64_95|std,104.85816966466855
91,mean_mag|std,104.46865425015845
92,F0|slope,103.91671840961179
93,magnitude_bin_7|median,103.81314218986084
94,tempogram_288_319|std,103.80160717433574
95,voiceProb|skewness,103.70005877752564
96,pcm_zcr_sma|energy,102.1491752651911
97,motion_continuity|slope,101.0630006376755
98,motion_continuity|kurtosis,99.11373625910039
99,pcm_zcr|mean,98.246821110302
100,r_com_x2|min,97.55077071510743
101,magnitude_bin_0|std,95.52714578192496
102,pcm_zcr|median,95.04657641793942
103,ac_global|std,94.84754772925524
104,oenv|slope,93.77169625207466
105,F0_sma|kurtosis,93.13704930250174
106,pcm_zcr_sma|slope,92.63564261344729
107,motion_continuity|skewness,92.02364228270943
108,spec_bw_time|median,90.68751505912877
109,mean_mag|energy,89.91471518732374
110,pcm_zcr_sma|median,89.30186247445837
111,pcm_zcr_sma|skewness,88.9499670555685
112,voiceProb|min,88.10653301836544
113,motion_continuity|std,88.00792695170503
114,ac_global|energy,87.22808038653339
115,voiceProb|median,87.13423394599977
116,cent_time|skewness,86.54339113228053
117,ac_global|slope,83.98959250034886
