rank,feature,importance
1,tempogram_0_31|skewness,2431.0
2,F0|slope,2319.0
3,chroma_cqt_1|max,2316.0
4,mean_brightness|median,2311.0
5,F0env|skewness,2288.0
6,tonal_centroid_3|median,2277.0
7,mfcc_sma[7]|median,2216.0
8,spread|kurtosis,2214.0
9,lspFreq[6]|median,2181.0
10,lspFreq_sma[7]|max,2160.0
11,mfcc[8]|max,2144.0
12,chroma_cqt_7|mean,2143.0
13,mfcc_sma[3]|skewness,2110.0
14,mfcc[12]|max,2105.0
15,lspFreq_sma[7]|min,2097.0
16,chroma_cqt_3|median,2072.0
17,magnitude_bin_1|slope,2059.0
18,chroma_cqt_4|energy,2048.0
19,fast_motion|skewness,2046.0
20,spec_contr_0|max,2017.0
21,mfcc[9]|median,2016.0
22,mfcc[11]|kurtosis,2016.0
23,mfcc[6]|min,2010.0
24,colorfulnesss|max,2004.0
25,magnitude_bin_0|kurtosis,1991.0
26,spectral_rolloff|kurtosis,1969.0
27,magnitude_bin_1|kurtosis,1963.0
28,motion_continuity|median,1949.0
29,lspFreq_sma[5]|slope,1948.0
30,mfcc_sma[8]|min,1944.0
31,spec_bw_time|max,1942.0
32,color_activity|max,1942.0
33,spec_contr_3|median,1934.0
34,skewness|kurtosis,1917.0
35,chroma_t_11|median,1910.0
36,tempogram_32_63|kurtosis,1900.0
37,magnitude_bin_0|max,1900.0
38,spectral_variation|median,1886.0
39,ac_global|energy,1881.0
40,tempogram_192_223|kurtosis,1877.0
41,pcm_zcr_sma|slope,1853.0
42,chroma_cqt_5|max,1837.0
43,fast_motion|kurtosis,1832.0
44,tempogram_64_95|min,1827.0
45,magnitude_bin_0|median,1794.0
46,tempogram_64_95|std,1782.0
47,colorfulnesss|median,1768.0
48,chroma_t_1|skewness,1760.0
49,spectral_flux|skewness,1757.0
50,spectral_decrease|mean,1751.0
51,skewness|skewness,1750.0
52,oenv|median,1737.0
53,tempogram_160_191|slope,1734.0
54,kurtosis|skewness,1732.0
55,ac_global|std,1711.0
56,voiceProb|skewness,1705.0
57,spectral_variation|min,1696.0
58,color_energy|max,1687.0
59,spec_contr_5|max,1664.0
60,voiceProb|min,1650.0
61,magnitude_bin_0|std,1647.0
62,voiceProb|max,1637.0
63,color_energy|energy,1637.0
64,magnitude_bin_5|skewness,1634.0
65,tempogram_224_255|max,1628.0
66,ac_global|slope,1613.0
67,lspFreq_sma[5]|max,1611.0
68,spec_contr_0|median,1598.0
69,motion_continuity|slope,1596.0
70,pcm_zcr|kurtosis,1594.0
71,mean_saturation|mean,1581.0
72,mean_mag|std,1577.0
73,motion_continuity|skewness,1565.0
74,oenv|slope,1538.0
75,spec_contr_0|std,1527.0
76,tempogram_288_319|std,1527.0
77,spectral_flux|max,1510.0
78,spec_contr_6|skewness,1495.0
79,magnitude_bin_2|max,1495.0
80,mean_mag|kurtosis,1481.0
81,chroma_t_5|median,1478.0
82,voiceProb_sma|kurtosis,1472.0
83,mean_saturation|max,1465.0
84,tempogram_224_255|std,1463.0
85,magnitude_bin_3|std,1462.0
86,fast_motion|max,1456.0
87,spread|max,1451.0
88,oenv|mean,1446.0
89,magnitude_bin_8|max,1442.0
90,tempogram_160_191|skewness,1432.0
91,F0_sma|kurtosis,1429.0
92,spec_contr_6|median,1426.0
93,mean_saturation|energy,1422.0
94,color_activity|mean,1419.0
95,pcm_zcr_sma|energy,1410.0
96,magnitude_bin_4|max,1409.0
97,colorfulnesss|energy,1403.0
98,lspFreq[3]|max,1393.0
99,pcm_zcr_sma|skewness,1382.0
100,lspFreq_sma[3]|median,1376.0
101,lspFreq_sma[2]|max,1370.0
102,tempogram_224_255|energy,1336.0
103,magnitude_bin_7|median,1331.0
104,pcm_zcr_sma|kurtosis,1324.0
105,motion_continuity|std,1314.0
106,tempogram_0_31|max,1313.0
107,mean_mag|median,1306.0
108,color_energy|mean,1288.0
109,voiceProb_sma|std,1284.0
110,ac_global|mean,1279.0
111,F0|max,1266.0
112,pcm_zcr|mean,1260.0
113,magnitude_bin_2|std,1248.0
114,motion_continuity|kurtosis,1242.0
115,magnitude_bin_2|min,1237.0
116,magnitude_bin_1|min,1233.0
117,cent_time|skewness,1232.0
118,pcm_zcr|max,1224.0
119,r_com_x2|min,1220.0
120,mean_mag|energy,1196.0
121,magnitude_bin_5|kurtosis,1177.0
122,colorfulnesss|min,1176.0
123,tempogram_0_31|energy,1174.0
124,spectral_rolloff|max,1170.0
125,spectral_decrease|median,1167.0
126,voiceProb_sma|median,1158.0
127,spec_bw_time|median,1124.0
128,fast_motion|median,1086.0
129,F0|skewness,1059.0
130,tempogram_64_95|max,1052.0
131,voiceProb|median,1029.0
132,pcm_zcr|median,975.0
133,voiceProb|mean,973.0
134,color_activity|min,936.0
135,fast_motion|mean,920.0
136,color_energy|min,920.0
137,pcm_zcr_sma|median,881.0
138,F0|mean,871.0
139,F0_sma|energy,860.0
140,tempogram_0_31|mean,835.0
141,tempogram_32_63|median,811.0
142,F0|energy,792.0
143,fast_motion|min,136.0
