rank,feature,importance
1,magnitude_bin_2|energy,1128.0839802349374
2,magnitude_bin_3|energy,962.1092974577941
3,magnitude_bin_3|mean,841.2188675924353
4,color_energy|median,721.5032174709359
5,r_com_x1|max,671.7961712331562
6,colorfulnesss|max,541.5075597613022
7,lspFreq[3]|max,483.25331567666035
8,motion_continuity|median,472.71435347517775
9,dominant_color_1_R|skewness,467.29596519415645
10,magnitude_bin_2|median,458.7708923858029
11,magnitude_bin_1|std,432.05209105138647
12,chroma_cqt_3|min,398.1163091122669
13,kurtosis|max,393.20823954984587
14,spectral_flux|energy,381.34105259359785
15,fast_motion|kurtosis,380.7747844572905
16,chroma_cqt_4|energy,379.9481913036816
17,mfcc_sma[3]|skewness,370.8942158481559
18,magnitude_bin_0|kurtosis,369.9664413593173
19,spec_contr_2|median,369.7487967713867
20,tonal_centroid_3|min,363.0338619447084
