rank,feature,importance
1,r_com_x1|max,2707.0
2,mfcc[12]|median,2363.0
3,chroma_cqt_4|energy,2278.0
4,mfcc_sma[11]|max,2212.0
5,color_energy|median,2204.0
6,chroma_cqt_11|kurtosis,2157.0
7,dominant_color_1_R|skewness,2137.0
8,spectral_flux|skewness,2133.0
9,mean_saturation|max,2126.0
10,chroma_cqt_3|median,2126.0
11,fast_motion|kurtosis,2120.0
12,mfcc_sma[3]|skewness,2067.0
13,F0env|energy,2065.0
14,mfcc_sma[8]|slope,2063.0
15,ac_global|energy,2062.0
16,fast_motion|skewness,2058.0
17,magnitude_bin_0|kurtosis,2053.0
18,lspFreq[5]|kurtosis,2048.0
19,lspFreq[6]|median,2045.0
20,lspFreq[3]|kurtosis,2009.0
