rank,feature,importance
1,mean_brightness|median,528.9441091179251
2,color_activity|max,526.8319185307605
3,color_energy|energy,511.57299863590686
4,color_energy|mean,348.91798834267365
5,mean_saturation|mean,276.35001247993137
6,colorfulnesss|max,250.63358564702511
7,magnitude_bin_0|max,243.08378196597704
8,magnitude_bin_0|median,196.22722700725603
9,colorfulnesss|energy,187.19755096550398
10,magnitude_bin_2|max,186.4475934855576
11,color_energy|max,185.64749104832026
12,tempogram_224_255|max,179.30542050037275
13,tonal_centroid_3|median,177.8569658001883
14,mfcc[6]|min,177.51031453819076
15,lspFreq[6]|median,177.23498064548653
16,colorfulnesss|median,175.59504025450454
17,spec_contr_6|skewness,174.0695017791818
18,chroma_cqt_1|max,171.99568894369804
19,chroma_cqt_5|max,170.29435969604768
20,fast_motion|max,168.0840336377533
