rank,feature,importance
1,tempogram_0_31|skewness,2431.0
2,F0|slope,2319.0
3,chroma_cqt_1|max,2316.0
4,mean_brightness|median,2311.0
5,F0env|skewness,2288.0
6,tonal_centroid_3|median,2277.0
7,mfcc_sma[7]|median,2216.0
8,spread|kurtosis,2214.0
9,lspFreq[6]|median,2181.0
10,lspFreq_sma[7]|max,2160.0
11,mfcc[8]|max,2144.0
12,chroma_cqt_7|mean,2143.0
13,mfcc_sma[3]|skewness,2110.0
14,mfcc[12]|max,2105.0
15,lspFreq_sma[7]|min,2097.0
16,chroma_cqt_3|median,2072.0
17,magnitude_bin_1|slope,2059.0
18,chroma_cqt_4|energy,2048.0
19,fast_motion|skewness,2046.0
20,spec_contr_0|max,2017.0
