rank,feature,importance
1,magnitude_bin_2|energy,977.3788025578579
2,color_energy|median,906.177045735586
3,magnitude_bin_3|mean,820.9915654740544
4,magnitude_bin_3|energy,820.0925638462268
5,r_com_x1|max,819.8157467895153
6,tonal_centroid_3|min,745.4971919752097
7,chroma_cqt_4|energy,734.2035882752971
8,colorfulnesss|max,710.7622795438747
9,chroma_cqt_5|median,680.7281788325199
10,dominant_color_1_R|skewness,675.7930225617692
11,magnitude_bin_0|median,672.0045683706794
12,mean_saturation|max,667.0305817343351
13,chroma_cqt_11|kurtosis,662.7238775809492
14,chroma_t_3|median,652.3222939355801
15,spec_contr_0|median,643.2371501450252
16,spec_contr_5|max,642.6426877956046
17,magnitude_bin_2|median,631.6559365307985
18,chroma_cqt_3|min,628.4335629301895
19,magnitude_bin_5|min,613.3276065637247
20,spec_contr_2|median,607.4706493587
21,tonal_centroid_1|max,599.4494143096008
22,chroma_s_1|median,582.3271144748187
23,colorfulnesss|median,574.7763164174357
24,tonal_centroid_2|max,564.0723033420763
25,magnitude_bin_1|std,559.873779844097
26,magnitude_bin_1|slope,559.2926161499927
27,chroma_cqt_6|energy,550.9655446251872
28,magnitude_bin_0|kurtosis,548.3796278409682
29,chroma_cqt_6|max,546.0365409720134
30,magnitude_bin_3|skewness,541.0957604706209
31,magnitude_bin_4|slope,536.6526468668544
32,magnitude_bin_6|skewness,536.3965817443259
33,dominant_color_2_R|std,534.6576215535424
34,tonal_centroid_3|max,534.2011720533483
35,magnitude_bin_8|skewness,522.797055232335
36,chroma_cqt_3|median,513.14942354905
37,magnitude_bin_0|max,510.4032959895212
38,g_com_x2|std,510.1371232668089
39,magnitude_bin_1|energy,501.67307531128154
40,magnitude_bin_2|min,491.9991821524163
41,g_com_x2|kurtosis,478.39407667927844
42,mean_brightness|kurtosis,473.4612709004805
43,r_com_x2|skewness,467.5769341942414
44,color_weight|kurtosis,450.53537758664606
45,color_activity|min,441.03252952035837
46,mean_brightness|min,413.2923791985595
47,r_com_x2|min,287.9948745307629
48,color_energy|min,272.59739101984087
