rank,feature,importance
1,r_com_x1|max,4486.0
2,chroma_cqt_4|energy,4384.0
3,chroma_cqt_11|kurtosis,4290.0
4,chroma_cqt_5|median,4196.0
5,magnitude_bin_0|kurtosis,4184.0
6,mean_saturation|max,4183.0
7,color_energy|median,4133.0
8,spec_contr_0|median,4104.0
9,chroma_cqt_6|energy,4100.0
10,magnitude_bin_1|slope,4078.0
11,dominant_color_1_R|skewness,4045.0
12,dominant_color_2_R|std,4028.0
13,chroma_cqt_3|median,3988.0
14,tonal_centroid_3|min,3962.0
15,tonal_centroid_3|max,3948.0
16,chroma_t_3|median,3928.0
17,chroma_cqt_6|max,3893.0
18,magnitude_bin_5|min,3851.0
19,chroma_cqt_3|min,3825.0
20,tonal_centroid_2|max,3805.0
21,magnitude_bin_6|skewness,3758.0
22,magnitude_bin_4|slope,3755.0
23,colorfulnesss|max,3718.0
24,tonal_centroid_1|max,3701.0
25,spec_contr_5|max,3692.0
26,chroma_s_1|median,3679.0
27,magnitude_bin_8|skewness,3679.0
28,colorfulnesss|median,3667.0
29,spec_contr_2|median,3606.0
30,magnitude_bin_3|skewness,3546.0
31,mean_brightness|kurtosis,3475.0
32,magnitude_bin_0|median,3467.0
33,magnitude_bin_0|max,3440.0
34,g_com_x2|std,3427.0
35,r_com_x2|skewness,3352.0
36,color_weight|kurtosis,3337.0
37,magnitude_bin_2|min,3331.0
38,g_com_x2|kurtosis,2969.0
39,magnitude_bin_1|std,2910.0
40,magnitude_bin_1|energy,2840.0
41,magnitude_bin_2|median,2811.0
42,magnitude_bin_3|energy,2746.0
43,magnitude_bin_2|energy,2569.0
44,color_activity|min,2334.0
45,magnitude_bin_3|mean,2324.0
46,mean_brightness|min,1928.0
47,r_com_x2|min,1895.0
48,color_energy|min,1833.0
