rank,feature,importance
1,mean_brightness|median,559.3666364161068
2,color_activity|max,545.6352990682662
3,color_energy|energy,486.6594185665126
4,color_energy|mean,350.3471813742249
5,colorfulnesss|max,326.77770919117984
6,magnitude_bin_0|max,322.6574932866997
7,chroma_t_5|median,320.7389260153059
8,magnitude_bin_0|median,318.75504508631
9,chroma_cqt_5|max,317.91741528632656
10,spec_contr_5|max,310.089038323174
11,chroma_cqt_1|max,298.8490320536712
12,magnitude_bin_0|kurtosis,296.0911426782386
13,spec_contr_6|skewness,292.58554923072097
14,chroma_t_11|median,287.26917610213695
15,chroma_cqt_7|mean,284.39225724708103
16,spec_contr_3|median,281.8807551533
17,tonal_centroid_3|median,277.6541898557866
18,chroma_cqt_4|energy,273.9484311350816
19,magnitude_bin_1|slope,273.4228266678433
20,magnitude_bin_8|max,264.4378638616636
21,chroma_cqt_3|median,258.51433790750616
22,colorfulnesss|energy,252.764262445231
23,magnitude_bin_2|max,251.18710598142297
24,color_energy|max,250.32586382016325
25,spec_contr_0|max,247.91249375624193
26,mean_saturation|mean,247.17992132238942
27,colorfulnesss|median,246.82676885193086
28,magnitude_bin_4|max,246.3634712632097
29,spec_contr_0|median,246.3096373484268
30,spec_contr_6|median,243.89308094335547
31,spec_contr_0|std,238.62693762822119
32,magnitude_bin_1|kurtosis,235.8493576848714
33,magnitude_bin_1|min,231.62494610887916
34,magnitude_bin_7|median,225.2011708441196
35,magnitude_bin_5|skewness,220.6100152298559
36,mean_saturation|energy,219.86732804753046
37,magnitude_bin_3|std,217.89057118127448
38,magnitude_bin_0|std,216.6803637087396
39,magnitude_bin_2|min,213.65374232229442
40,mean_saturation|max,211.17292344874477
41,chroma_t_1|skewness,210.82878160205746
42,magnitude_bin_2|std,196.7083786911776
43,color_activity|mean,181.146217030735
44,r_com_x2|min,156.4654749718302
45,magnitude_bin_5|kurtosis,154.71561227184793
46,color_energy|min,140.4545607870541
47,color_activity|min,134.54619569268925
48,colorfulnesss|min,126.95351150869737
