rank,feature,importance
1,tonal_centroid_3|median,4449.0
2,magnitude_bin_1|slope,4359.0
3,chroma_cqt_3|median,4328.0
4,mean_brightness|median,4308.0
5,chroma_cqt_1|max,4255.0
6,spec_contr_0|max,4208.0
7,chroma_cqt_7|mean,4188.0
8,chroma_t_11|median,4150.0
9,chroma_cqt_4|energy,4142.0
10,chroma_cqt_5|max,4118.0
11,spec_contr_3|median,4100.0
12,magnitude_bin_0|kurtosis,4064.0
13,chroma_t_5|median,3998.0
14,spec_contr_0|std,3945.0
15,spec_contr_0|median,3923.0
16,chroma_t_1|skewness,3921.0
17,spec_contr_5|max,3914.0
18,spec_contr_6|skewness,3887.0
19,magnitude_bin_1|kurtosis,3780.0
20,magnitude_bin_0|median,3776.0
21,magnitude_bin_5|skewness,3690.0
22,colorfulnesss|max,3656.0
23,color_activity|max,3650.0
24,magnitude_bin_0|max,3618.0
25,magnitude_bin_4|max,3558.0
26,magnitude_bin_0|std,3551.0
27,magnitude_bin_8|max,3525.0
28,magnitude_bin_2|max,3473.0
29,spec_contr_6|median,3444.0
30,magnitude_bin_3|std,3340.0
31,color_energy|mean,3330.0
32,color_energy|max,3325.0
33,magnitude_bin_7|median,3309.0
34,magnitude_bin_1|min,3253.0
35,colorfulnesss|median,3223.0
36,mean_saturation|max,3211.0
37,color_energy|energy,3201.0
38,color_activity|mean,3140.0
39,magnitude_bin_2|min,3092.0
40,colorfulnesss|energy,3035.0
41,mean_saturation|mean,2917.0
42,magnitude_bin_2|std,2884.0
43,mean_saturation|energy,2692.0
44,r_com_x2|min,2502.0
45,magnitude_bin_5|kurtosis,2438.0
46,colorfulnesss|min,2188.0
47,color_energy|min,2079.0
48,color_activity|min,2063.0
