rank,feature,importance
1,magnitude_bin_2|energy,977.3788025578579
2,color_energy|median,906.177045735586
3,magnitude_bin_3|mean,820.9915654740544
4,magnitude_bin_3|energy,820.0925638462268
5,r_com_x1|max,819.8157467895153
6,tonal_centroid_3|min,745.4971919752097
7,chroma_cqt_4|energy,734.2035882752971
8,colorfulnesss|max,710.7622795438747
9,chroma_cqt_5|median,680.7281788325199
10,dominant_color_1_R|skewness,675.7930225617692
11,magnitude_bin_0|median,672.0045683706794
12,mean_saturation|max,667.0305817343351
13,chroma_cqt_11|kurtosis,662.7238775809492
14,chroma_t_3|median,652.3222939355801
15,spec_contr_0|median,643.2371501450252
16,spec_contr_5|max,642.6426877956046
17,magnitude_bin_2|median,631.6559365307985
18,chroma_cqt_3|min,628.4335629301895
19,magnitude_bin_5|min,613.3276065637247
20,spec_contr_2|median,607.4706493587
