rank,feature,importance
1,r_com_x1|max,4486.0
2,chroma_cqt_4|energy,4384.0
3,chroma_cqt_11|kurtosis,4290.0
4,chroma_cqt_5|median,4196.0
5,magnitude_bin_0|kurtosis,4184.0
6,mean_saturation|max,4183.0
7,color_energy|median,4133.0
8,spec_contr_0|median,4104.0
9,chroma_cqt_6|energy,4100.0
10,magnitude_bin_1|slope,4078.0
11,dominant_color_1_R|skewness,4045.0
12,dominant_color_2_R|std,4028.0
13,chroma_cqt_3|median,3988.0
14,tonal_centroid_3|min,3962.0
15,tonal_centroid_3|max,3948.0
16,chroma_t_3|median,3928.0
17,chroma_cqt_6|max,3893.0
18,magnitude_bin_5|min,3851.0
19,chroma_cqt_3|min,3825.0
20,tonal_centroid_2|max,3805.0
