rank,feature,importance
1,mean_brightness|median,559.3666364161068
2,color_activity|max,545.6352990682662
3,color_energy|energy,486.6594185665126
4,color_energy|mean,350.3471813742249
5,colorfulnesss|max,326.77770919117984
6,magnitude_bin_0|max,322.6574932866997
7,chroma_t_5|median,320.7389260153059
8,magnitude_bin_0|median,318.75504508631
9,chroma_cqt_5|max,317.91741528632656
10,spec_contr_5|max,310.089038323174
11,chroma_cqt_1|max,298.8490320536712
12,magnitude_bin_0|kurtosis,296.0911426782386
13,spec_contr_6|skewness,292.58554923072097
14,chroma_t_11|median,287.26917610213695
15,chroma_cqt_7|mean,284.39225724708103
16,spec_contr_3|median,281.8807551533
17,tonal_centroid_3|median,277.6541898557866
18,chroma_cqt_4|energy,273.9484311350816
19,magnitude_bin_1|slope,273.4228266678433
20,magnitude_bin_8|max,264.4378638616636
