rank,feature,importance
1,tonal_centroid_3|median,4449.0
2,magnitude_bin_1|slope,4359.0
3,chroma_cqt_3|median,4328.0
4,mean_brightness|median,4308.0
5,chroma_cqt_1|max,4255.0
6,spec_contr_0|max,4208.0
7,chroma_cqt_7|mean,4188.0
8,chroma_t_11|median,4150.0
9,chroma_cqt_4|energy,4142.0
10,chroma_cqt_5|max,4118.0
11,spec_contr_3|median,4100.0
12,magnitude_bin_0|kurtosis,4064.0
13,chroma_t_5|median,3998.0
14,spec_contr_0|std,3945.0
15,spec_contr_0|median,3923.0
16,chroma_t_1|skewness,3921.0
17,spec_contr_5|max,3914.0
18,spec_contr_6|skewness,3887.0
19,magnitude_bin_1|kurtosis,3780.0
20,magnitude_bin_0|median,3776.0
