rank,feature,importance
1,magnitude_bin_2|energy,1189.1201068338623
2,magnitude_bin_3|mean,859.5387160623668
3,magnitude_bin_3|energy,829.9254789762508
4,color_energy|median,698.5182242002724
5,r_com_x1|max,671.1186894502853
6,colorfulnesss|max,581.6886360895651
7,lspFreq[3]|max,488.0476256027141
8,motion_continuity|median,461.1499872210052
9,dominant_color_1_R|skewness,452.5715214603233
10,magnitude_bin_2|median,444.3990364944566
11,magnitude_bin_1|std,426.5026385652061
12,spec_contr_2|median,408.42285451276086
13,chroma_cqt_3|min,404.61895116753885
14,mfcc_sma[3]|skewness,399.8326336390028
15,spectral_flux|energy,395.13757810798234
16,fast_motion|kurtosis,390.87987416982105
17,kurtosis|max,388.6136111874131
18,mfcc_sma[11]|max,384.7910765944812
19,chroma_cqt_4|energy,382.06451691517395
20,tonal_centroid_2|max,368.55103968412527
21,fast_motion|std,357.6736336393235
22,tonal_centroid_3|min,352.737529500826
23,mfcc_sma[8]|min,350.69185573837603
24,lspFreq_sma[1]|kurtosis,344.81143490028217
25,onset_frame|std,343.53242303193747
26,mfcc[5]|min,341.970867161408
27,magnitude_bin_0|kurtosis,339.7198187190605
28,magnitude_bin_0|max,339.26952133204213
29,sub_ons_2|median,336.23418121724444
30,chroma_cqt_11|kurtosis,335.6482179793993
31,tonal_centroid_1|max,334.3584847634693
32,spec_contr_0|median,333.8418978228324
33,fast_motion|median,333.114538595074
34,chroma_s_1|median,332.2327093190572
35,magnitude_bin_4|slope,329.33358106265587
36,tonal_centroid_3|max,328.31563761483164
37,magnitude_bin_0|median,325.28497603074834
38,lspFreq_sma[6]|kurtosis,324.86388737424284
39,mfcc[12]|median,320.99866296058826
40,magnitude_bin_1|slope,319.22840345013446
41,magnitude_bin_1|energy,318.6625679049839
42,mean_brightness|min,317.79613437662465
43,mfcc_sma[8]|slope,314.12381154983814
44,spectral_flux|skewness,313.37986404958883
45,lspFreq[3]|kurtosis,311.5068922579012
46,r_com_x2|skewness,309.3130830462924
47,chroma_cqt_5|median,308.76756177650896
48,magnitude_bin_6|skewness,307.02329274416843
49,colorfulnesss|median,306.8814207180567
50,lspFreq[6]|median,303.62842328575334
51,skewness|skewness,303.21683892322744
52,g_com_x2|kurtosis,297.1283681440318
53,spec_contr_5|max,296.9900995585722
54,lspFreq[7]|skewness,296.8277072291273
55,magnitude_bin_8|skewness,296.80213645545723
56,pcm_zcr_sma|slope,296.74043174665894
57,pcm_zcr_sma|median,296.2810392580259
58,chroma_t_3|median,295.49297539418603
59,chroma_cqt_6|max,294.564825677071
60,spectral_variation|median,290.8780220823446
61,spectral_decrease|mean,289.46310749714394
62,motion_continuity|slope,289.42097908820085
63,motion_continuity|energy,289.08685648705546
64,motion_continuity|skewness,288.74807627064365
65,spectral_decrease|median,288.5637234096066
66,pcm_zcr_sma|min,287.9229719397608
67,mean_saturation|max,287.02660612796717
68,lspFreq_sma[7]|skewness,284.6216231733406
69,tempogram_0_31|skewness,281.3054535067322
70,lspFreq[5]|kurtosis,280.2881010780784
71,ac_global|std,277.43827414166117
72,sub_ons_3|std,277.13651648207997
73,pcm_zcr|kurtosis,273.4277563375231
74,spectral_flux|median,270.40686443988216
75,spec_bw_time|max,269.4892959373028
76,tempogram_0_31|std,260.84175833476365
77,sub_ons_3|max,258.1039113181914
78,lspFreq_sma[5]|skewness,258.06174729748636
79,chroma_cqt_3|median,257.2855746656396
80,magnitude_bin_5|min,255.63801656721353
81,tempogram_64_95|std,254.68052223636823
82,lpc_13|median,252.64693173365777
83,fast_motion|skewness,252.6177314988745
84,sub_ons_1|median,251.77905195151834
85,sub_ons_0|mean,250.92103334489002
86,dominant_color_2_R|std,250.13384589249563
87,tempogram_320_351|mean,249.79446346060308
88,tempogram_224_255|max,248.31911320152994
89,color_activity|min,245.25408471875585
90,spectral_variation|min,244.87166054289082
91,mean_mag|std,242.27474577430985
92,magnitude_bin_3|skewness,241.1611287531059
93,pcm_zcr|median,241.05928639232297
94,spectral_rolloff|energy,238.90494693564585
95,tempogram_224_255|std,238.3553747022661
96,magnitude_bin_2|min,237.9761838734703
97,tempogram_32_63|kurtosis,237.52210846951277
98,pcm_zcr|max,235.68083261727406
99,spec_bw_time|median,233.30399571609541
100,mean_brightness|kurtosis,233.20637403016644
101,chroma_cqt_6|energy,231.80619278421273
102,sub_ons_2|max,228.7589727615632
103,tempogram_32_63|std,228.11107823573866
104,tempogram_64_95|min,224.15943469412468
105,spectral_variation|kurtosis,223.0181349698032
106,skewness|median,220.41511367453677
107,color_weight|kurtosis,219.89504912823395
108,tempogram_160_191|skewness,217.62379253198014
109,pcm_zcr_sma|max,216.27534534205688
110,tempogram_160_191|slope,213.93128335567326
111,sub_ons_2|mean,211.96077455865634
112,sub_ons_2|slope,209.3939467902892
113,tempogram_32_63|skewness,206.8608443211624
114,centroid|energy,206.27488842107425
115,tempogram_0_31|max,206.14602547984487
116,oenv|slope,195.23053478754264
117,ac_global|energy,191.89531429895032
118,sub_ons_0|std,188.57789351946303
119,pcm_zcr|skewness,188.0318139668807
120,sub_ons_0|max,187.82841587692747
121,sub_ons_1|slope,185.67339262762744
122,ac_global|min,185.1206460640069
