rank,feature,importance
1,r_com_x1|max,2564.0
2,mfcc[12]|median,2336.0
3,chroma_cqt_4|energy,2274.0
4,lspFreq_sma[1]|kurtosis,2267.0
5,dominant_color_1_R|skewness,2222.0
6,mfcc_sma[11]|max,2198.0
7,colorfulnesss|median,2196.0
8,chroma_cqt_3|median,2179.0
9,chroma_cqt_5|median,2173.0
10,colorfulnesss|max,2157.0
11,mfcc_sma[8]|slope,2150.0
12,spectral_flux|skewness,2137.0
13,lspFreq_sma[6]|kurtosis,2132.0
14,lspFreq[3]|kurtosis,2119.0
15,mfcc_sma[3]|skewness,2110.0
16,lspFreq[5]|kurtosis,2099.0
17,chroma_cqt_11|kurtosis,2093.0
18,color_energy|median,2075.0
19,tonal_centroid_3|min,2055.0
20,dominant_color_2_R|std,2052.0
21,mean_saturation|max,2042.0
22,fast_motion|kurtosis,2036.0
23,chroma_cqt_6|max,2036.0
24,magnitude_bin_0|kurtosis,2006.0
25,tonal_centroid_3|max,2004.0
26,magnitude_bin_4|slope,1993.0
27,lspFreq[6]|median,1983.0
28,fast_motion|skewness,1946.0
29,lspFreq_sma[5]|skewness,1943.0
30,mfcc_sma[8]|min,1939.0
31,chroma_s_1|median,1933.0
32,spec_contr_0|median,1923.0
33,motion_continuity|median,1917.0
34,kurtosis|max,1917.0
35,magnitude_bin_1|slope,1898.0
36,skewness|skewness,1885.0
37,tonal_centroid_2|max,1880.0
38,lspFreq[7]|skewness,1864.0
39,r_com_x2|skewness,1844.0
40,fast_motion|median,1833.0
41,spec_bw_time|max,1819.0
42,lspFreq_sma[7]|skewness,1817.0
43,onset_frame|std,1811.0
44,sub_ons_2|median,1804.0
45,tempogram_32_63|kurtosis,1798.0
46,color_weight|kurtosis,1797.0
47,spec_contr_2|median,1794.0
48,pcm_zcr_sma|slope,1792.0
49,magnitude_bin_3|skewness,1786.0
50,chroma_cqt_6|energy,1785.0
51,motion_continuity|energy,1784.0
52,tonal_centroid_1|max,1746.0
53,mean_mag|std,1741.0
54,spec_contr_5|max,1718.0
55,ac_global|std,1717.0
56,chroma_t_3|median,1716.0
57,mfcc[5]|min,1705.0
58,fast_motion|std,1702.0
59,sub_ons_1|median,1700.0
60,spectral_variation|min,1685.0
61,tempogram_64_95|min,1676.0
62,tempogram_224_255|max,1676.0
63,spectral_decrease|mean,1675.0
64,chroma_cqt_3|min,1667.0
65,tempogram_0_31|skewness,1664.0
66,lspFreq[3]|max,1657.0
67,spectral_variation|kurtosis,1636.0
68,magnitude_bin_0|max,1632.0
69,mean_brightness|kurtosis,1628.0
70,tempogram_192_223|kurtosis,1628.0
71,magnitude_bin_8|skewness,1601.0
72,spectral_flux|energy,1592.0
73,pcm_zcr|skewness,1579.0
74,magnitude_bin_6|skewness,1568.0
75,magnitude_bin_5|min,1565.0
76,motion_continuity|skewness,1528.0
77,g_com_x2|kurtosis,1526.0
78,pcm_zcr|kurtosis,1522.0
79,lpc_13|median,1521.0
80,tempogram_32_63|skewness,1514.0
81,spectral_variation|median,1512.0
82,tempogram_0_31|max,1505.0
83,tempogram_64_95|std,1486.0
84,pcm_zcr_sma|min,1479.0
85,sub_ons_3|max,1479.0
86,tempogram_320_351|mean,1460.0
87,ac_global|energy,1445.0
88,spectral_rolloff|max,1441.0
89,motion_continuity|slope,1439.0
90,spectral_flux|median,1435.0
91,tempogram_224_255|std,1420.0
92,tempogram_0_31|std,1411.0
93,magnitude_bin_2|min,1398.0
94,sub_ons_3|std,1395.0
95,magnitude_bin_1|std,1392.0
96,magnitude_bin_0|median,1386.0
97,spec_bw_time|median,1379.0
98,sub_ons_2|max,1373.0
99,tempogram_160_191|skewness,1370.0
100,spectral_rolloff|energy,1360.0
101,centroid|energy,1353.0
102,sub_ons_2|slope,1335.0
103,skewness|median,1324.0
104,oenv|slope,1323.0
105,magnitude_bin_2|median,1323.0
106,tempogram_160_191|slope,1315.0
107,sub_ons_0|max,1311.0
108,g_com_x2|std,1310.0
109,sub_ons_0|mean,1310.0
110,sub_ons_1|slope,1296.0
111,sub_ons_1|energy,1295.0
112,tempogram_32_63|std,1293.0
113,spectral_decrease|median,1282.0
114,magnitude_bin_3|energy,1259.0
115,color_activity|min,1245.0
116,sub_ons_0|std,1219.0
117,mean_brightness|min,1189.0
118,magnitude_bin_2|energy,1184.0
119,tempogram_32_63|median,1168.0
120,sub_ons_1|max,1161.0
121,magnitude_bin_1|energy,1139.0
122,ac_global|min,1136.0
123,tempogram_192_223|slope,1125.0
124,sub_ons_2|mean,1115.0
125,sub_ons_1|mean,1026.0
126,pcm_zcr_sma|max,1001.0
127,pcm_zcr_sma|energy,996.0
128,motion_continuity|std,992.0
129,r_com_x2|min,990.0
130,color_energy|min,962.0
131,magnitude_bin_3|mean,942.0
132,mean_mag|min,938.0
133,ac_global|mean,932.0
134,motion_continuity|mean,931.0
135,pcm_zcr|max,931.0
136,pcm_zcr_sma|median,926.0
137,sub_ons_1|skewness,902.0
138,pcm_zcr|mean,902.0
139,pcm_zcr|std,880.0
140,pcm_zcr|median,828.0
141,pcm_zcr_sma|mean,809.0
142,pcm_zcr_sma|std,736.0
143,motion_continuity|min,605.0
144,fast_motion|min,114.0
