rank,feature,importance
1,color_energy|energy,549.688854369907
2,mean_brightness|median,510.1021121152479
3,color_activity|max,504.24155519263155
4,color_energy|mean,298.12303778961984
5,colorfulnesss|max,275.60537939124214
6,mean_saturation|mean,273.0268746407412
7,magnitude_bin_0|max,218.06051625636027
8,magnitude_bin_2|max,198.73988712277634
9,colorfulnesss|energy,198.58865590114905
10,color_energy|max,197.09698214147372
11,magnitude_bin_0|median,192.18540304561432
12,chroma_cqt_1|max,190.75560695436116
13,mfcc[6]|min,190.0658685294785
14,chroma_cqt_5|max,189.1302591935912
15,spectral_decrease|median,186.13931046583753
16,tempogram_224_255|max,184.0162700171268
17,spec_contr_6|skewness,183.1953995531885
18,mfcc[12]|max,182.16228885938085
19,fast_motion|max,177.15017022717626
20,tonal_centroid_3|median,176.5875872385688
21,spectral_variation|min,172.71186559403844
22,mfcc[8]|max,172.6384382131311
23,chroma_t_11|median,168.89525446210064
24,colorfulnesss|median,167.37283643786856
25,mfcc_sma[8]|min,161.75678328583524
26,lspFreq[6]|median,160.85880831034353
27,spec_contr_3|median,160.1257535648012
28,magnitude_bin_5|skewness,158.44654677265225
29,mfcc_sma[7]|median,157.5693762185414
30,chroma_cqt_7|mean,155.1888823927111
31,mfcc[9]|median,151.7311830915046
32,mfcc_sma[3]|skewness,151.39715844610805
33,chroma_t_5|median,149.070178720761
34,sub_ons_2|mean,147.9143299249205
35,oenv|median,146.31494551400303
36,chroma_cqt_4|energy,143.6425094749393
37,magnitude_bin_3|std,143.45549383739308
38,mean_saturation|energy,142.8772983951194
39,magnitude_bin_8|max,141.74795574129303
40,magnitude_bin_4|max,141.21431473152893
41,lspFreq_sma[2]|max,139.00677238913204
42,tempogram_0_31|skewness,134.52646034316425
43,kurtosis|skewness,133.41749177789006
44,spectral_decrease|mean,132.80151413606654
45,tempogram_192_223|kurtosis,132.397989812079
46,magnitude_bin_2|std,131.84433037719967
47,mfcc[11]|kurtosis,131.66850937853496
48,spec_contr_0|max,131.5141501477281
49,spectral_flux|max,130.89326032677604
50,lspFreq_sma[3]|median,130.52647429506482
51,tempogram_0_31|max,130.49759767408273
52,lspFreq_sma[7]|max,129.6492162695081
53,sub_ons_3|max,128.76861132417628
54,magnitude_bin_1|min,127.68039927621976
55,spec_contr_5|max,126.60018966523097
56,lspFreq_sma[5]|slope,125.63021210335664
57,pcm_zcr|max,125.60166132155986
58,lspFreq[3]|max,125.2294956244537
59,magnitude_bin_1|slope,124.79465110236242
60,motion_continuity|median,124.60874299179817
61,magnitude_bin_0|kurtosis,124.18845514907025
62,spec_contr_0|std,123.23743227431348
63,onset_frame|kurtosis,122.96029606572245
64,fast_motion|kurtosis,121.9566874279611
65,spread|max,121.41295152036719
66,tempogram_224_255|std,120.14686161973896
67,spectral_rolloff|kurtosis,120.11732233119585
68,tempogram_64_95|min,119.70946512845751
69,spec_contr_6|median,116.50300811802572
70,magnitude_bin_7|median,116.22901253687428
71,chroma_t_1|skewness,116.09410464151779
72,chroma_cqt_3|median,116.05615834016999
73,skewness|skewness,115.94471426324981
74,pcm_zcr_sma|energy,115.82905498051053
75,mean_saturation|max,114.31637390740434
76,magnitude_bin_2|min,113.52108546722206
77,spec_contr_0|median,113.3066309851356
