rank,feature,importance
1,tonal_centroid_3|median,2609.0
2,chroma_cqt_1|max,2493.0
3,mfcc_sma[7]|median,2466.0
4,spec_contr_0|max,2336.0
5,mean_brightness|median,2327.0
6,mfcc_sma[3]|skewness,2309.0
7,fast_motion|skewness,2295.0
8,lspFreq_sma[5]|slope,2209.0
9,mfcc[8]|max,2143.0
10,motion_continuity|median,2131.0
11,tempogram_0_31|skewness,2111.0
12,mfcc[9]|median,2109.0
13,mfcc[12]|max,2107.0
14,chroma_cqt_3|median,2106.0
15,colorfulnesss|max,2105.0
16,chroma_cqt_7|mean,2056.0
17,magnitude_bin_0|kurtosis,2041.0
18,chroma_cqt_5|max,2039.0
19,chroma_t_11|median,2039.0
20,color_energy|max,2031.0
21,spectral_rolloff|kurtosis,2029.0
22,skewness|kurtosis,2028.0
23,onset_frame|energy,2024.0
24,mfcc[11]|kurtosis,2021.0
25,fast_motion|kurtosis,2006.0
26,magnitude_bin_0|max,1968.0
27,mfcc[6]|min,1956.0
28,lspFreq_sma[7]|min,1939.0
29,tempogram_32_63|kurtosis,1937.0
30,lspFreq[6]|median,1935.0
31,color_activity|max,1928.0
32,kurtosis|skewness,1915.0
33,mfcc_sma[8]|min,1913.0
34,tempogram_64_95|std,1912.0
35,spread|kurtosis,1911.0
36,spec_bw_time|max,1886.0
37,magnitude_bin_0|median,1868.0
38,magnitude_bin_1|slope,1851.0
39,spec_contr_3|median,1849.0
40,colorfulnesss|median,1848.0
41,ac_global|energy,1835.0
42,skewness|skewness,1828.0
43,tempogram_192_223|kurtosis,1821.0
44,motion_continuity|skewness,1821.0
45,tempogram_224_255|max,1809.0
46,chroma_t_1|skewness,1795.0
47,pcm_zcr_sma|slope,1788.0
48,magnitude_bin_1|kurtosis,1779.0
49,spec_contr_5|max,1760.0
50,spectral_flux|skewness,1760.0
51,chroma_cqt_4|energy,1756.0
52,chroma_t_5|median,1751.0
53,spectral_variation|min,1744.0
54,tempogram_64_95|min,1729.0
55,lspFreq_sma[7]|max,1725.0
56,tempogram_160_191|slope,1725.0
57,sub_ons_1|median,1720.0
58,spec_contr_0|median,1717.0
59,color_energy|energy,1702.0
60,spectral_decrease|mean,1702.0
61,sub_ons_3|max,1667.0
62,ac_global|std,1665.0
63,magnitude_bin_5|skewness,1632.0
64,oenv|median,1599.0
65,lspFreq_sma[5]|max,1584.0
66,spectral_flux|max,1562.0
67,spec_contr_0|std,1537.0
68,colorfulnesss|energy,1535.0
69,pcm_zcr_sma|energy,1533.0
70,motion_continuity|slope,1525.0
71,mean_mag|std,1524.0
72,spectral_variation|median,1521.0
73,ac_global|slope,1519.0
74,pcm_zcr|kurtosis,1503.0
75,magnitude_bin_0|std,1497.0
76,mean_saturation|mean,1492.0
77,fast_motion|max,1490.0
78,pcm_zcr_sma|kurtosis,1490.0
79,sub_ons_1|max,1490.0
80,magnitude_bin_2|max,1481.0
81,magnitude_bin_8|max,1466.0
82,sub_ons_0|max,1447.0
83,lspFreq_sma[3]|median,1437.0
84,spread|max,1432.0
85,onset_frame|kurtosis,1429.0
86,tempogram_288_319|std,1419.0
87,oenv|slope,1413.0
88,onset_frame|slope,1413.0
89,motion_continuity|kurtosis,1406.0
90,color_energy|mean,1405.0
91,spec_contr_6|skewness,1400.0
92,lspFreq[3]|max,1390.0
93,tempogram_160_191|skewness,1386.0
94,sub_ons_0|slope,1383.0
95,sub_ons_2|mean,1378.0
96,mean_saturation|max,1372.0
97,tempogram_224_255|energy,1372.0
98,onset_frame|std,1372.0
99,magnitude_bin_7|median,1355.0
100,pcm_zcr_sma|skewness,1351.0
101,mean_mag|median,1340.0
102,cent_time|skewness,1339.0
103,spec_contr_6|median,1334.0
104,magnitude_bin_3|std,1333.0
105,color_activity|mean,1332.0
106,lspFreq_sma[2]|max,1314.0
107,tempogram_224_255|std,1312.0
108,magnitude_bin_4|max,1310.0
109,r_com_x2|min,1302.0
110,pcm_zcr|max,1300.0
111,mean_mag|kurtosis,1296.0
112,magnitude_bin_2|std,1291.0
113,colorfulnesss|min,1287.0
114,magnitude_bin_1|min,1287.0
115,tempogram_0_31|max,1270.0
116,sub_ons_2|skewness,1264.0
117,sub_ons_3|median,1261.0
118,motion_continuity|std,1261.0
119,pcm_zcr|mean,1255.0
120,mean_saturation|energy,1246.0
121,spectral_rolloff|max,1201.0
122,ac_global|mean,1197.0
123,magnitude_bin_2|min,1193.0
124,sub_ons_2|max,1183.0
125,sub_ons_3|std,1181.0
126,tempogram_64_95|max,1176.0
127,tempogram_0_31|energy,1173.0
128,spectral_decrease|median,1173.0
129,sub_ons_0|mean,1149.0
130,oenv|mean,1099.0
131,color_energy|min,1075.0
132,mean_mag|energy,1060.0
133,magnitude_bin_5|kurtosis,1042.0
134,color_activity|min,1004.0
135,fast_motion|mean,1004.0
136,fast_motion|median,976.0
137,spec_bw_time|median,936.0
138,pcm_zcr|median,910.0
139,pcm_zcr_sma|median,892.0
140,tempogram_0_31|mean,871.0
141,tempogram_32_63|median,821.0
142,fast_motion|min,183.0
143,sub_ons_0|min,120.0
