rank,feature,importance
1,magnitude_bin_2|energy,1189.1201068338623
2,magnitude_bin_3|mean,859.5387160623668
3,magnitude_bin_3|energy,829.9254789762508
4,color_energy|median,698.5182242002724
5,r_com_x1|max,671.1186894502853
6,colorfulnesss|max,581.6886360895651
7,lspFreq[3]|max,488.0476256027141
8,motion_continuity|median,461.1499872210052
9,dominant_color_1_R|skewness,452.5715214603233
10,magnitude_bin_2|median,444.3990364944566
11,magnitude_bin_1|std,426.5026385652061
12,spec_contr_2|median,408.42285451276086
13,chroma_cqt_3|min,404.61895116753885
14,mfcc_sma[3]|skewness,399.8326336390028
15,spectral_flux|energy,395.13757810798234
16,fast_motion|kurtosis,390.87987416982105
17,kurtosis|max,388.6136111874131
18,mfcc_sma[11]|max,384.7910765944812
19,chroma_cqt_4|energy,382.06451691517395
20,tonal_centroid_2|max,368.55103968412527
