rank,feature,importance
1,r_com_x1|max,2564.0
2,mfcc[12]|median,2336.0
3,chroma_cqt_4|energy,2274.0
4,lspFreq_sma[1]|kurtosis,2267.0
5,dominant_color_1_R|skewness,2222.0
6,mfcc_sma[11]|max,2198.0
7,colorfulnesss|median,2196.0
8,chroma_cqt_3|median,2179.0
9,chroma_cqt_5|median,2173.0
10,colorfulnesss|max,2157.0
11,mfcc_sma[8]|slope,2150.0
12,spectral_flux|skewness,2137.0
13,lspFreq_sma[6]|kurtosis,2132.0
14,lspFreq[3]|kurtosis,2119.0
15,mfcc_sma[3]|skewness,2110.0
16,lspFreq[5]|kurtosis,2099.0
17,chroma_cqt_11|kurtosis,2093.0
18,color_energy|median,2075.0
19,tonal_centroid_3|min,2055.0
20,dominant_color_2_R|std,2052.0
