rank,feature,importance
1,color_energy|energy,549.688854369907
2,mean_brightness|median,510.1021121152479
3,color_activity|max,504.24155519263155
4,color_energy|mean,298.12303778961984
5,colorfulnesss|max,275.60537939124214
6,mean_saturation|mean,273.0268746407412
7,magnitude_bin_0|max,218.06051625636027
8,magnitude_bin_2|max,198.73988712277634
9,colorfulnesss|energy,198.58865590114905
10,color_energy|max,197.09698214147372
11,magnitude_bin_0|median,192.18540304561432
12,chroma_cqt_1|max,190.75560695436116
13,mfcc[6]|min,190.0658685294785
14,chroma_cqt_5|max,189.1302591935912
15,spectral_decrease|median,186.13931046583753
16,tempogram_224_255|max,184.0162700171268
17,spec_contr_6|skewness,183.1953995531885
18,mfcc[12]|max,182.16228885938085
19,fast_motion|max,177.15017022717626
20,tonal_centroid_3|median,176.5875872385688
