rank,feature,importance
1,tonal_centroid_3|median,2609.0
2,chroma_cqt_1|max,2493.0
3,mfcc_sma[7]|median,2466.0
4,spec_contr_0|max,2336.0
5,mean_brightness|median,2327.0
6,mfcc_sma[3]|skewness,2309.0
7,fast_motion|skewness,2295.0
8,lspFreq_sma[5]|slope,2209.0
9,mfcc[8]|max,2143.0
10,motion_continuity|median,2131.0
11,tempogram_0_31|skewness,2111.0
12,mfcc[9]|median,2109.0
13,mfcc[12]|max,2107.0
14,chroma_cqt_3|median,2106.0
15,colorfulnesss|max,2105.0
16,chroma_cqt_7|mean,2056.0
17,magnitude_bin_0|kurtosis,2041.0
18,chroma_cqt_5|max,2039.0
19,chroma_t_11|median,2039.0
20,color_energy|max,2031.0
