rank,feature,importance
1,magnitude_bin_2|energy,1058.313948880219
2,color_energy|median,916.3899392824278
3,r_com_x1|max,859.3968248334968
4,magnitude_bin_3|energy,857.5897371046249
5,colorfulnesss|max,810.4572690012692
6,magnitude_bin_3|mean,752.8255155730494
7,dominant_color_1_R|skewness,719.689030304653
8,kurtosis|max,690.2803316075624
9,mean_saturation|max,686.4097274917294
10,spectral_rolloff|energy,652.4389879443952
11,spectral_variation|kurtosis,644.9565467296288
12,magnitude_bin_2|median,635.7710906302564
13,skewness|median,635.6592911156586
14,spectral_flux|skewness,634.7428246006202
15,magnitude_bin_0|kurtosis,627.5873247659656
16,magnitude_bin_6|skewness,621.2171103739565
17,spectral_flux|energy,606.1855691292731
18,magnitude_bin_1|slope,601.8053994009133
19,magnitude_bin_4|slope,597.361320610049
20,spec_bw_time|max,584.2517694282942
21,dominant_color_2_R|std,582.4645384684845
22,skewness|skewness,581.8199796049685
23,spectral_decrease|mean,581.7402763730961
24,magnitude_bin_1|std,581.4454335927621
25,spec_bw_time|median,579.5274687304045
26,mean_brightness|kurtosis,577.7620001983014
27,magnitude_bin_0|max,575.0921100783344
28,colorfulnesss|median,562.141974057151
29,spectral_variation|min,558.6811245013414
30,magnitude_bin_0|median,556.5964298026493
31,spectral_flux|median,542.3856031118994
32,magnitude_bin_5|min,534.0519531500231
33,magnitude_bin_2|min,532.3105686897325
34,spectral_decrease|median,531.7055173887838
35,spectral_variation|median,527.2303195414243
36,magnitude_bin_8|skewness,521.64026167474
37,g_com_x2|kurtosis,513.5045692397871
38,magnitude_bin_3|skewness,511.4719519916289
39,spectral_rolloff|max,500.0358988301632
40,magnitude_bin_1|energy,488.30422790623925
41,g_com_x2|std,485.52021693024653
42,color_weight|kurtosis,480.9822899801038
43,r_com_x2|skewness,479.75161924291297
44,centroid|energy,437.5906724607239
45,color_activity|min,390.95303133959897
46,mean_brightness|min,380.85606490692226
47,r_com_x2|min,365.8125418578911
48,color_energy|min,260.31392687884727
