rank,feature,importance
1,r_com_x1|max,4604.0
2,spectral_flux|skewness,4441.0
3,color_energy|median,4427.0
4,dominant_color_2_R|std,4403.0
5,magnitude_bin_0|kurtosis,4331.0
6,colorfulnesss|max,4254.0
7,mean_saturation|max,4216.0
8,spectral_rolloff|energy,4208.0
9,spec_bw_time|max,4091.0
10,dominant_color_1_R|skewness,4091.0
11,skewness|skewness,4039.0
12,magnitude_bin_1|slope,4022.0
13,spectral_variation|kurtosis,4006.0
14,magnitude_bin_4|slope,4002.0
15,mean_brightness|kurtosis,3825.0
16,colorfulnesss|median,3794.0
17,magnitude_bin_0|max,3789.0
18,spectral_rolloff|max,3747.0
19,spectral_variation|min,3743.0
20,spectral_decrease|mean,3700.0
21,spec_bw_time|median,3698.0
22,spectral_flux|energy,3673.0
23,magnitude_bin_3|skewness,3672.0
24,magnitude_bin_6|skewness,3652.0
25,magnitude_bin_5|min,3648.0
26,kurtosis|max,3615.0
27,skewness|median,3563.0
28,color_weight|kurtosis,3492.0
29,magnitude_bin_8|skewness,3470.0
30,centroid|energy,3460.0
31,spectral_decrease|median,3407.0
32,magnitude_bin_1|std,3390.0
33,r_com_x2|skewness,3357.0
34,g_com_x2|std,3354.0
35,spectral_variation|median,3315.0
36,spectral_flux|median,3312.0
37,magnitude_bin_2|min,3237.0
38,magnitude_bin_0|median,3185.0
39,g_com_x2|kurtosis,3173.0
40,magnitude_bin_2|median,2811.0
41,magnitude_bin_3|energy,2739.0
42,magnitude_bin_1|energy,2716.0
43,magnitude_bin_2|energy,2430.0
44,magnitude_bin_3|mean,2420.0
45,r_com_x2|min,2349.0
46,color_activity|min,2300.0
47,mean_brightness|min,2105.0
48,color_energy|min,1924.0
