rank,feature,importance
1,mean_brightness|median,556.2504941858424
2,color_activity|max,531.1447846487481
3,color_energy|energy,517.5987016021836
4,color_energy|mean,341.4477255695838
5,magnitude_bin_0|median,337.51633622529243
6,colorfulnesss|max,331.22007793637795
7,magnitude_bin_0|max,314.4317803022259
8,magnitude_bin_0|kurtosis,311.27058314542046
9,spectral_variation|min,296.6350094323807
10,colorfulnesss|median,288.41870382607885
11,magnitude_bin_7|median,284.91532913874835
12,mean_saturation|mean,284.83582237861174
13,colorfulnesss|energy,283.49346793266386
14,spread|max,283.31499704954695
15,skewness|skewness,282.23079937851617
16,color_energy|max,277.56419276885936
17,spectral_decrease|median,273.48598666925864
18,kurtosis|skewness,272.68222066540966
19,magnitude_bin_2|max,263.5619611880056
20,magnitude_bin_4|max,263.49406493193146
21,magnitude_bin_1|kurtosis,260.2727141390942
22,spectral_variation|median,258.76690485905056
23,spectral_rolloff|kurtosis,257.334328113011
24,spectral_decrease|mean,257.0407795823894
25,magnitude_bin_1|slope,255.39189100794465
26,spec_bw_time|median,254.5692741962539
27,magnitude_bin_0|std,252.70521408099376
28,magnitude_bin_3|std,252.22886425096385
29,magnitude_bin_8|max,247.79281776074095
30,magnitude_bin_5|skewness,246.04547991895834
31,spec_bw_time|max,236.00309848728375
32,spectral_flux|max,230.58972176196312
33,spread|kurtosis,229.44627467907458
34,spectral_flux|skewness,226.72154404506546
35,skewness|kurtosis,226.66482063445437
36,magnitude_bin_1|min,225.66344294578994
37,spectral_rolloff|max,223.9997947968186
38,mean_saturation|max,222.65269090713355
39,magnitude_bin_2|min,218.26298944870905
40,magnitude_bin_2|std,210.31743521690805
41,mean_saturation|energy,207.17755538575148
42,cent_time|skewness,205.57386743944244
43,color_activity|mean,188.82830909182667
44,r_com_x2|min,179.10011416713405
45,magnitude_bin_5|kurtosis,157.17395123794995
46,colorfulnesss|min,134.0315725471678
47,color_activity|min,131.1576208631459
48,color_energy|min,122.41348583676836
