rank,feature,importance
1,mean_brightness|median,4518.0
2,magnitude_bin_1|slope,4511.0
3,spectral_rolloff|kurtosis,4245.0
4,spread|kurtosis,4130.0
5,skewness|kurtosis,4103.0
6,spec_bw_time|max,4103.0
7,spectral_variation|median,4084.0
8,magnitude_bin_0|kurtosis,4071.0
9,skewness|skewness,4067.0
10,spectral_flux|skewness,4057.0
11,spectral_variation|min,3942.0
12,color_activity|max,3884.0
13,spectral_flux|max,3846.0
14,spec_bw_time|median,3821.0
15,colorfulnesss|max,3805.0
16,magnitude_bin_0|max,3797.0
17,magnitude_bin_1|kurtosis,3766.0
18,colorfulnesss|median,3733.0
19,kurtosis|skewness,3730.0
20,magnitude_bin_5|skewness,3719.0
21,spectral_decrease|mean,3711.0
22,magnitude_bin_7|median,3698.0
23,mean_saturation|max,3675.0
24,spread|max,3626.0
25,cent_time|skewness,3607.0
26,magnitude_bin_0|median,3571.0
27,magnitude_bin_4|max,3571.0
28,magnitude_bin_0|std,3544.0
29,magnitude_bin_8|max,3520.0
30,magnitude_bin_3|std,3454.0
31,magnitude_bin_2|max,3395.0
32,color_energy|max,3384.0
33,magnitude_bin_1|min,3342.0
34,spectral_decrease|median,3335.0
35,color_energy|energy,3301.0
36,colorfulnesss|energy,3264.0
37,color_activity|mean,3198.0
38,magnitude_bin_2|std,3179.0
39,magnitude_bin_2|min,3149.0
40,spectral_rolloff|max,3143.0
41,color_energy|mean,3143.0
42,mean_saturation|mean,2994.0
43,mean_saturation|energy,2863.0
44,r_com_x2|min,2602.0
45,magnitude_bin_5|kurtosis,2447.0
46,colorfulnesss|min,2365.0
47,color_activity|min,2137.0
48,color_energy|min,2050.0
